"Producto","Tipo","NIF","Adjudicatario","Fecha","Cantidad Pedido","Cantidad Recibido","Cantidad Pendiente","Importe del Pedido","Importe Pagado","Importe Pendiente"
"GUANTE QUIRÚRGICO","SUMINISTRO","A28017895","EL CORTE INGLES, S.A.","24/03/2020","26800","26800","0","7760","7760","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","A28017895","EL CORTE INGLES, S.A.","24/03/2020","61400","61400","0","17779","17779","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","A28017895","EL CORTE INGLES, S.A.","24/03/2020","65600","65600","0","18995","18995","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","A28017895","EL CORTE INGLES, S.A.","24/03/2020","36800","36800","0","10656","10656","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","A28017895","EL CORTE INGLES, S.A.","24/03/2020","7600","7600","0","2201","2201","0","21%"
"Fij/suj/acc.ventiltp","SUMINISTRO","A28063485","DRAGER MEDICAL HISPANIA, S.A.","24/03/2020","84","84","0","1880","1880","0","21%"
"Tubul/filt/circ. Y","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","24/03/2020","4500","4500","0","5445","5445","0","21%"
"Mascarilla O2/otras","SUMINISTRO","A28536480","VYGON, S.A.","24/03/2020","100","100","0","10285","10285","0","21%"
"Mascarilla O2/otras","SUMINISTRO","A28536480","VYGON, S.A.","24/03/2020","58","58","0","5965","5965","0","0%"
"Mascarilla O2/otras","SUMINISTRO","A28536480","VYGON, S.A.","24/03/2020","42","42","0","3570","3570","0","0%"
"CONTENEDORES","SUMINISTRO","B03362621","AKRALAB, S.L.","24/03/2020","120","120","0","4150","4150","0","21%"
"CLIENTE LIGERO","SUMINISTRO","B30053003","GISPERT GENERAL DE INFORMATICA Y","24/03/2020","20","20","0","10147","10147","0","21%"
"ORDENADOR PERSONAL","SUMINISTRO","B30053003","GISPERT GENERAL DE INFORMATICA Y","24/03/2020","10","10","0","7635","7635","0","21%"
"MASCARILLA PROTECCION FFP2","SUMINISTRO","B30243737","VIALTA, S.L.","24/03/2020","5000","5000","0","38100","38100","0","21%"
"ALCOHOL","SUMINISTRO","B30389282","BENITO PARRAGA, S.L.","24/03/2020","180","180","0","406","406","0","0%"
"ALCOHOL","SUMINISTRO","B30389282","BENITO PARRAGA, S.L.","24/03/2020","2700","2700","0","6088","6088","0","0%"
"CONTENEDORES","SUMINISTRO","B36731495","HISANTA, S.L.","24/03/2020","208","208","0","1888","1888","0","21%"
"Mascarilla O2/otras","SUMINISTRO","B46149555","DEXTRO MEDICA, S.L.","24/03/2020","2","2","0","750","750","0","0%"
"Mascarilla O2/otras","SUMINISTRO","B46149555","DEXTRO MEDICA, S.L.","24/03/2020","4","4","0","1240","1240","0","0%"
"Nebuliz./humidific.","SUMINISTRO","B46149555","DEXTRO MEDICA, S.L.","24/03/2020","10","10","0","456","456","0","0%"
"Nebuliz./humidific.","SUMINISTRO","B61053922","KEYLAB MEDICAL, S.L.","24/03/2020","120","120","0","2178","2178","0","0%"
"CONTENEDORES","SUMINISTRO","B81409567","DANGEROUS GOODS PACKAGING, S.L.","24/03/2020","204","204","0","4937","4937","0","21%"
"CONTENEDORES","SUMINISTRO","B81409567","DANGEROUS GOODS PACKAGING, S.L.","24/03/2020","204","204","0","4937","4937","0","21%"
"Mascarilla O2/otras","SUMINISTRO","B82479387","LINDE MEDICA, S.L.U.","24/03/2020","10","10","0","605","605","0","21%"
"Mascarilla O2/otras","SUMINISTRO","B82479387","LINDE MEDICA, S.L.U.","24/03/2020","20","20","0","1210","1210","0","21%"
"Mascarilla O2/otras","SUMINISTRO","B82479387","LINDE MEDICA, S.L.U.","24/03/2020","40","40","0","2000","2000","0","0%"
"Mascarilla O2/otras","SUMINISTRO","B82479387","LINDE MEDICA, S.L.U.","24/03/2020","30","30","0","1500","1500","0","0%"
"Mascarilla O2/otras","SUMINISTRO","B82479387","LINDE MEDICA, S.L.U.","24/03/2020","19","19","0","736","736","0","0%"
"Mascarilla O2/otras","SUMINISTRO","B82479387","LINDE MEDICA, S.L.U.","24/03/2020","60","60","0","2323","2323","0","0%"
"Mascarilla O2/otras","SUMINISTRO","B82479387","LINDE MEDICA, S.L.U.","24/03/2020","2","2","0","77","77","0","0%"
"Mascarilla O2/otras","SUMINISTRO","B82479387","LINDE MEDICA, S.L.U.","24/03/2020","81","81","0","2592","2592","0","0%"
"BATA AISLAMIENTO","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","24/03/2020","4788","4788","0","7230","7230","0","21%"
"BATAS DESECHABLES E IMPERMEABLES","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","24/03/2020","520","520","0","1227","1227","0","21%"
"BATAS DESECHABLES E IMPERMEABLES","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","24/03/2020","48","48","0","87","87","0","21%"
"BATAS DESECHABLES E IMPERMEABLES","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","24/03/2020","352","352","0","1042","1042","0","21%"
"BATAS DESECHABLES E IMPERMEABLES","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","24/03/2020","364","364","0","1077","1077","0","21%"
"BATAS DESECHABLES E IMPERMEABLES","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","24/03/2020","11368","11368","0","38515","38515","0","21%"
"BATAS DESECHABLES E IMPERMEABLES","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","24/03/2020","42","42","0","81","81","0","21%"
"BATAS DESECHABLES E IMPERMEABLES","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","24/03/2020","2560","2560","0","8986","8986","0","21%"
"BATAS DESECHABLES E IMPERMEABLES","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","24/03/2020","7668","7668","0","24124","24124","0","21%"
"BATAS DESECHABLES E IMPERMEABLES","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","24/03/2020","32","32","0","105","105","0","21%"
"BATAS DESECHABLES E IMPERMEABLES","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","24/03/2020","792","792","0","2012","2012","0","21%"
"BATAS DESECHABLES E IMPERMEABLES","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","24/03/2020","396","396","0","935","935","0","21%"
"BATAS DESECHABLES E IMPERMEABLES","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","24/03/2020","832","832","0","1964","1964","0","21%"
"BATAS DESECHABLES E IMPERMEABLES","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","24/03/2020","1064","1064","0","3086","3086","0","21%"
"BATAS DESECHABLES E IMPERMEABLES","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","24/03/2020","320","320","0","794","794","0","21%"
"BATAS DESECHABLES E IMPERMEABLES","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","24/03/2020","216","216","0","432","432","0","0%"
"BATAS DESECHABLES E IMPERMEABLES","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","24/03/2020","512","512","0","1797","1797","0","21%"
"BATAS DESECHABLES E IMPERMEABLES","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","24/03/2020","736","736","0","1340","1340","0","21%"
"BATAS DESECHABLES E IMPERMEABLES","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","24/03/2020","648","648","0","1218","1218","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B87334017","CARDINAL HEALTH SPAIN 511, S.L.","24/03/2020","7200","7200","0","3354","3354","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B87334017","CARDINAL HEALTH SPAIN 511, S.L.","24/03/2020","14400","14400","0","14462","14462","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B87334017","CARDINAL HEALTH SPAIN 511, S.L.","24/03/2020","800","800","0","871","871","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B87334017","CARDINAL HEALTH SPAIN 511, S.L.","24/03/2020","400","400","0","436","436","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B87334017","CARDINAL HEALTH SPAIN 511, S.L.","24/03/2020","1600","1600","0","745","745","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B87334017","CARDINAL HEALTH SPAIN 511, S.L.","24/03/2020","15000","15000","0","4356","4356","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B87334017","CARDINAL HEALTH SPAIN 511, S.L.","24/03/2020","4000","4000","0","1162","1162","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B87334017","CARDINAL HEALTH SPAIN 511, S.L.","24/03/2020","20000","20000","0","5808","5808","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B87334017","CARDINAL HEALTH SPAIN 511, S.L.","24/03/2020","4000","4000","0","1162","1162","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B87334017","CARDINAL HEALTH SPAIN 511, S.L.","24/03/2020","600","600","0","174","174","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B87334017","CARDINAL HEALTH SPAIN 511, S.L.","24/03/2020","14400","14400","0","6708","6708","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B87334017","CARDINAL HEALTH SPAIN 511, S.L.","24/03/2020","7200","7200","0","3354","3354","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B87334017","CARDINAL HEALTH SPAIN 511, S.L.","24/03/2020","21600","21600","0","10062","10062","0","0%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B87334017","CARDINAL HEALTH SPAIN 511, S.L.","24/03/2020","200","200","0","93","93","0","0%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B87334017","CARDINAL HEALTH SPAIN 511, S.L.","24/03/2020","21400","21400","0","21492","21492","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B87334017","CARDINAL HEALTH SPAIN 511, S.L.","24/03/2020","21600","21600","0","21693","21693","0","0%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B87334017","CARDINAL HEALTH SPAIN 511, S.L.","24/03/2020","14400","14400","0","14462","14462","0","0%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B87334017","CARDINAL HEALTH SPAIN 511, S.L.","24/03/2020","7200","7200","0","7231","7231","0","0%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B87334017","CARDINAL HEALTH SPAIN 511, S.L.","24/03/2020","800","800","0","871","871","0","0%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B87334017","CARDINAL HEALTH SPAIN 511, S.L.","24/03/2020","2000","2000","0","2178","2178","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B87334017","CARDINAL HEALTH SPAIN 511, S.L.","24/03/2020","800","800","0","871","871","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B87334017","CARDINAL HEALTH SPAIN 511, S.L.","24/03/2020","600","600","0","603","603","0","0%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B87334017","CARDINAL HEALTH SPAIN 511, S.L.","24/03/2020","200","200","0","166","166","0","0%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B87334017","CARDINAL HEALTH SPAIN 511, S.L.","24/03/2020","2000","2000","0","581","581","0","21%"
"RESPIRADOR+CARRO","SUMINISTRO","B97527477","MATCLINIC, S.L.","24/03/2020","1","1","0","13310","13310","0","0%"
"RESPIRADOR+CARRO","SUMINISTRO","B97527477","MATCLINIC, S.L.","24/03/2020","1","1","0","13310","13310","0","21%"
"RESPIRADOR+CARRO","SUMINISTRO","B97527477","MATCLINIC, S.L.","24/03/2020","1","1","0","13310","13310","0","21%"
"RESPIRADOR+CARRO","SUMINISTRO","B97527477","MATCLINIC, S.L.","24/03/2020","1","1","0","13310","13310","0","21%"
"RESPIRADOR+CARRO","SUMINISTRO","B97527477","MATCLINIC, S.L.","24/03/2020","1","1","0","12100","12100","0","0%"
"RESPIRADOR+CARRO","SUMINISTRO","B97527477","MATCLINIC, S.L.","24/03/2020","1","1","0","12100","12100","0","0%"
"OTROS","SUMINISTRO","F73659013","MPL SOLUCIONES S.COOP","24/03/2020","1000","1000","0","18150","18150","0","21%"
"DESINFECTANTE SUPERFICIE","SUMINISTRO","A08032401","LABORATORIOS HARTMANN, S.A.","25/03/2020","2000","2000","0","15730","15730","0","21%"
"LICENCIAS TERMINAL SERVER","SUMINISTRO","A08854929","SEIDOR, S.A.","25/03/2020","1000","1000","0","210298","210298","0","21%"
"Fij/suj/acc.ventiltp","SUMINISTRO","A28063485","DRAGER MEDICAL HISPANIA, S.A.","25/03/2020","10","10","0","411","411","0","21%"
"RESPIRADOR DE VENTILACIÓN NO INVASIVA","SUMINISTRO","A28400273","CONTSE, SA","25/03/2020","2","2","0","10394","10394","0","21%"
"RESPIRADOR DE VENTILACIÓN NO INVASIVA","SUMINISTRO","A28400273","CONTSE, SA","25/03/2020","1","1","0","5197","5197","0","21%"
"RESPIRADOR DE VENTILACIÓN NO INVASIVA","SUMINISTRO","A28400273","CONTSE, SA","25/03/2020","1","1","0","5197","5197","0","21%"
"RESPIRADOR DE VENTILACIÓN NO INVASIVA","SUMINISTRO","A28400273","CONTSE, SA","25/03/2020","1","1","0","5197","5197","0","21%"
"RESPIRADOR DE VENTILACIÓN NO INVASIVA","SUMINISTRO","A28400273","CONTSE, SA","25/03/2020","2","2","0","8590","8590","0","0%"
"RESPIRADOR DE VENTILACIÓN NO INVASIVA","SUMINISTRO","A28400273","CONTSE, SA","25/03/2020","3","3","0","12885","12885","0","0%"
"RESPIRADOR DE VENTILACIÓN NO INVASIVA","SUMINISTRO","A28400273","CONTSE, SA","25/03/2020","1","1","0","4295","4295","0","0%"
"RESPIRADOR DE VENTILACIÓN NO INVASIVA","SUMINISTRO","A28400273","CONTSE, SA","25/03/2020","1","1","0","4295","4295","0","0%"
"Mascarilla O2/otras","SUMINISTRO","A28536480","VYGON, S.A.","25/03/2020","100","100","0","10285","10285","0","21%"
"Mascarilla O2/otras","SUMINISTRO","A28536480","VYGON, S.A.","25/03/2020","100","100","0","10285","10285","0","0%"
"Mascarilla O2/otras","SUMINISTRO","A28536480","VYGON, S.A.","25/03/2020","10","10","0","1028","1028","0","21%"
"Mascarilla O2/otras","SUMINISTRO","A28536480","VYGON, S.A.","25/03/2020","10","10","0","1028","1028","0","0%"
"BATAS DESECHABLES E IMPERMEABLES","SUMINISTRO","B15031545","COMEDIC, S.L.","25/03/2020","792","792","0","2875","2875","0","21%"
"GORROS","SUMINISTRO","B15031545","COMEDIC, S.L.","25/03/2020","2500","2500","0","91","91","0","21%"
"GORROS","SUMINISTRO","B15031545","COMEDIC, S.L.","25/03/2020","2000","2000","0","73","73","0","21%"
"GORROS","SUMINISTRO","B15031545","COMEDIC, S.L.","25/03/2020","2500","2500","0","76","76","0","21%"
"OTROS","SUMINISTRO","B30243737","VIALTA, S.L.","25/03/2020","10","10","0","186","186","0","21%"
"OTROS","SUMINISTRO","B30243737","VIALTA, S.L.","25/03/2020","7","7","0","330","330","0","21%"
"OTROS","SUMINISTRO","B30243737","VIALTA, S.L.","25/03/2020","4","4","0","114","114","0","10%"
"OTROS","SUMINISTRO","B30243737","VIALTA, S.L.","25/03/2020","12","12","0","45","45","0","21%"
"OTROS","SUMINISTRO","B30243737","VIALTA, S.L.","25/03/2020","5","5","0","22","22","0","21%"
"CONTENEDORES","SUMINISTRO","B36731495","HISANTA, S.L.","25/03/2020","52","52","0","472","472","0","21%"
"DESINFECTANTE SUPERFICIE","SUMINISTRO","B48910756","VESISMIN, S.L.","25/03/2020","102","102","0","9717","9717","0","21%"
"DESINFECTANTE TOALLITAS","SUMINISTRO","B48910756","VESISMIN, S.L.","25/03/2020","5600","5600","0","569","569","0","0%"
"OTROS","SUMINISTRO","B59078071","HOSPITAL HISPANIA, SL.","25/03/2020","50","50","0","6534","6534","0","21%"
"CAJONERA RODANTE","SUMINISTRO","B73068702","SOFIMA EXPRESS, S.L.","25/03/2020","15","15","0","2287","2287","0","21%"
"MESA AUXILIAR PACIENTE","SUMINISTRO","B73068702","SOFIMA EXPRESS, S.L.","25/03/2020","15","15","0","3775","3775","0","21%"
"SILLA CONFIDENTE","SUMINISTRO","B73068702","SOFIMA EXPRESS, S.L.","25/03/2020","30","30","0","2432","2432","0","21%"
"SILLA OFICINA+RUEDAS","SUMINISTRO","B73068702","SOFIMA EXPRESS, S.L.","25/03/2020","20","20","0","3267","3267","0","21%"
"GORROS","SUMINISTRO","B80601982","CARDIVA 2, S.L.","25/03/2020","2000","2000","0","240","240","0","21%"
"GORROS","SUMINISTRO","B80601982","CARDIVA 2, S.L.","25/03/2020","5000","5000","0","490","490","0","21%"
"Conector/adaptador","SUMINISTRO","B82479387","LINDE MEDICA, S.L.U.","25/03/2020","9","9","0","0","0","0","0%"
"Conector/adaptador","SUMINISTRO","B82479387","LINDE MEDICA, S.L.U.","25/03/2020","2","2","0","0","0","0","0%"
"Conector/adaptador","SUMINISTRO","B82479387","LINDE MEDICA, S.L.U.","25/03/2020","5","5","0","0","0","0","0%"
"Conector/adaptador","SUMINISTRO","B82479387","LINDE MEDICA, S.L.U.","25/03/2020","5","5","0","0","0","0","0%"
"Mascarilla O2/otras","SUMINISTRO","B82479387","LINDE MEDICA, S.L.U.","25/03/2020","2","2","0","109","109","0","0%"
"Mascarilla O2/otras","SUMINISTRO","B82479387","LINDE MEDICA, S.L.U.","25/03/2020","25","25","0","1512","1512","0","21%"
"Mascarilla O2/otras","SUMINISTRO","B82479387","LINDE MEDICA, S.L.U.","25/03/2020","50","50","0","2500","2500","0","21%"
"Mascarilla O2/otras","SUMINISTRO","B82479387","LINDE MEDICA, S.L.U.","25/03/2020","25","25","0","1250","1250","0","0%"
"Mascarilla O2/otras","SUMINISTRO","B82479387","LINDE MEDICA, S.L.U.","25/03/2020","6","6","0","290","290","0","0%"
"Mascarilla O2/otras","SUMINISTRO","B82479387","LINDE MEDICA, S.L.U.","25/03/2020","8","8","0","436","436","0","0%"
"Nebuliz./humidific.","SUMINISTRO","B82479387","LINDE MEDICA, S.L.U.","25/03/2020","180","180","0","185","185","0","21%"
"Nebuliz./humidific.","SUMINISTRO","B82479387","LINDE MEDICA, S.L.U.","25/03/2020","120","120","0","123","123","0","21%"
"Nebuliz./humidific.","SUMINISTRO","B82479387","LINDE MEDICA, S.L.U.","25/03/2020","180","180","0","185","185","0","21%"
"BATAS DESECHABLES E IMPERMEABLES","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","792","792","0","1112","1112","0","21%"
"BATAS DESECHABLES E IMPERMEABLES","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","144","144","0","202","202","0","21%"
"BATAS DESECHABLES E IMPERMEABLES","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","252","252","0","354","354","0","21%"
"BATAS DESECHABLES E IMPERMEABLES","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","48","48","0","173","173","0","0%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","5000","5000","0","2178","2178","0","0%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","5200","5200","0","2265","2265","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","8200","8200","0","3572","3572","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","1400","1400","0","610","610","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","200","200","0","87","87","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","200","200","0","128","128","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","400","400","0","257","257","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","600","600","0","385","385","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","200","200","0","128","128","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","3600","3600","0","1908","1908","0","0%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","600","600","0","318","318","0","0%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","200","200","0","257","257","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","1000","1000","0","1283","1283","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","1000","1000","0","1283","1283","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","2800","2800","0","3591","3591","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","2600","2600","0","3335","3335","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","3000","3000","0","3848","3848","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","400","400","0","513","513","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","600","600","0","653","653","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","400","400","0","436","436","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","600","600","0","653","653","0","21%"
"GUANTE QUIRÚRGICO","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","1600","1600","0","484","484","0","21%"
"MASCARILLA PROTECCION FFP3","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","5760","5760","0","8782","8782","0","21%"
"MASCARILLAS (OTRAS)","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","100","100","0","30","30","0","0%"
"PIJAMAS","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","25/03/2020","825","825","0","819","819","0","21%"
"MONITOR DE PRESION VENOSA","SUMINISTRO","B97527477","MATCLINIC, S.L.","25/03/2020","8","8","0","26592","26592","0","21%"
"MONO INTEGRAL","SUMINISTRO","F73659013","MPL SOLUCIONES S.COOP","25/03/2020","500","500","0","5142","5142","0","21%"
"MONO INTEGRAL","SUMINISTRO","F73659013","MPL SOLUCIONES S.COOP","25/03/2020","1000","1000","0","10285","10285","0","21%"
"MONO INTEGRAL","SUMINISTRO","F73659013","MPL SOLUCIONES S.COOP","25/03/2020","1000","1000","0","10285","10285","0","21%"
"MONO INTEGRAL","SUMINISTRO","F73659013","MPL SOLUCIONES S.COOP","25/03/2020","1000","1000","0","10285","10285","0","21%"
"GORROS","SUMINISTRO","A08630063","IBERHOSPITEX, S.A.","26/03/2020","49000","49000","0","2075","2075","0","21%"
"GORROS","SUMINISTRO","A08630063","IBERHOSPITEX, S.A.","26/03/2020","51000","51000","0","1785","1785","0","0%"
"GUANTES DE NITRILO, CON Y SIN POLVO","SUMINISTRO","A28017895","EL CORTE INGLES, S.A.","26/03/2020","188000","188000","0","5823","5823","0","21%"
"GUANTES DE NITRILO, CON Y SIN POLVO","SUMINISTRO","A28017895","EL CORTE INGLES, S.A.","26/03/2020","80000","80000","0","2478","2478","0","21%"
"GUANTES DE NITRILO, CON Y SIN POLVO","SUMINISTRO","A28017895","EL CORTE INGLES, S.A.","26/03/2020","23000","23000","0","712","712","0","21%"
"Fund/prot.desechable","SUMINISTRO","A58710740","PALEX MEDICAL, S.A.","26/03/2020","25000","25000","0","21175","21175","0","21%"
"KITS PCR DIAGNOSTICO COVID-19","SUMINISTRO","A58710740","PALEX MEDICAL, S.A.","26/03/2020","5","5","0","15125","15125","0","0%"
"PCR EXTRACCION Y MATERIAL ACCESORIO","SUMINISTRO","A58710740","PALEX MEDICAL, S.A.","26/03/2020","2","2","0","172","172","0","0%"
"PCR EXTRACCION Y MATERIAL ACCESORIO","SUMINISTRO","A58710740","PALEX MEDICAL, S.A.","26/03/2020","1","1","0","86","86","0","21%"
"PCR EXTRACCION Y MATERIAL ACCESORIO","SUMINISTRO","A58710740","PALEX MEDICAL, S.A.","26/03/2020","3","3","0","697","697","0","0%"
"PCR EXTRACCION Y MATERIAL ACCESORIO","SUMINISTRO","A58710740","PALEX MEDICAL, S.A.","26/03/2020","1","1","0","242","242","0","21%"
"PCR EXTRACCION Y MATERIAL ACCESORIO","SUMINISTRO","A58710740","PALEX MEDICAL, S.A.","26/03/2020","10","10","0","710","710","0","0%"
"PCR EXTRACCION Y MATERIAL ACCESORIO","SUMINISTRO","A58710740","PALEX MEDICAL, S.A.","26/03/2020","10","10","0","2000","2000","0","0%"
"GORROS","SUMINISTRO","B30243737","VIALTA, S.L.","26/03/2020","800","800","0","68","68","0","21%"
"Fund/prot.desechable","SUMINISTRO","B61526414","MOLNLYCKE HEALTH CARE S.L.","26/03/2020","400","400","0","605","605","0","21%"
"OTROS","SUMINISTRO","B73182586","MARCOM MEDICA, S.L.","26/03/2020","100","100","0","0","0","0","21%"
"TERMOMETROS","SUMINISTRO","B73280349","MEDICAL CAÑADA, S.L.","26/03/2020","200","200","0","11000","11000","0","0%"
"Conector/adaptador","SUMINISTRO","B80957889","INTERSURGICAL ESPAÑA, S.L.","26/03/2020","100","100","0","241","241","0","21%"
"Conector/adaptador","SUMINISTRO","B82479387","LINDE MEDICA, S.L.U.","26/03/2020","30","30","0","0","0","0","0%"
"RESPIRADOR DE VENTILACIÓN NO INVASIVA","SUMINISTRO","B84745801","AIR LIQUIDE HEALTHCARE ESPAÑA, S.L.","26/03/2020","20","20","0","140360","140360","0","21%"
"BATAS DESECHABLES E IMPERMEABLES","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","26/03/2020","288","288","0","404","404","0","21%"
"BATAS DESECHABLES E IMPERMEABLES","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","26/03/2020","64","64","0","116","116","0","21%"
"BATAS DESECHABLES E IMPERMEABLES","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","26/03/2020","1404","1404","0","1971","1971","0","0%"
"BATAS DESECHABLES E IMPERMEABLES","SUMINISTRO","B86030723","MEDLINE INTERNATIONAL IBERIA S.L.","26/03/2020","120","120","0","218","218","0","21%"
