Contract Number,Contractor                       Name,Short                                  Description,Full                                                       Description,Contract Status,Contract Type,Contract Entered,Contract                Expiration,Contract Amendments,Last                             Amendment,Original                                 Amount,Contract                                           Total,Managing                                                    Division
008157,HEALTH MANAGEMENT ASSOCIATES,AGING IN PLACE STRATEGIC PLAN,Implementation and evaluation of Aging in Place Community Strategic Plan,A,profsvcs,09/29/2016,12/31/2019,2,09/11/2019,"230,000.00","288,115.00",Strategic Initiatives
008169,ALLIANCE FOR HOUSING & HEALING,SOCIAL SERVICES GRANT FOR AIDS SUPPORT 2016-17.,"Social services grant for 2016-17.  Housing and Healthcase management, AIDS services.
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19.",A,grants,10/10/2016,09/30/2019,4,02/05/2019,"118,486.00","373,115.00",Social Services
008170,APLA HEALTH & WELLNESS,SOCIAL SERVICES GRANT 2016-17 AIDS SUPPORT SERVICES,"Social services grant for 2016-17. Health and wellness - AIDS services, provide dental care.
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19.  Consent to assignment.  AIDS Project Los Angeles V#300029 is changed to APLA Health & Wellness V#325558 effective 6/30/18.",A,grants,10/10/2016,09/30/2019,4,09/05/2018,"220,548.00","539,111.00",Social Services
008171,APLA HEALTH & WELLNESS,SOCIAL SERVICES GRANT 2016-17 HIV/AIDS SUPPORT SERVICES,"Social services grant for 2016-17.  Community Support Services.
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19. Consent to assignment.  AIDS Project Los Angeles V#300029 is changed to APLA Health & Wellness V#325558 effective 6/30/18.",A,grants,10/10/2016,09/30/2019,7,09/25/2019,"56,547.00","382,533.00",Social Services
008172,ASCENCIA,SOCIAL SERVICES GRANT 2016-17 HOMELESS SERVICES,"Social services grant for 2016-17 for intensive homeless outreach and case management services including shelter beds and comprehensive care.  Amount includes basic grant of $214,573. plus CDBG amt $35,000.
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19.",A,grants,10/10/2016,09/30/2019,3,09/05/2018,"249,573.00","763,863.00",Social Services
008173,BEING ALIVE,SOCIAL SERVICES GRANT 2016-17 HIV/AIDS SUPPORT,"Social services grant for 2016-17. Wellness services to persons living with HIV/AIDS.
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19.",A,grants,10/10/2016,09/30/2019,4,03/06/2019,"109,844.00","353,597.00",Social Services
008175,BET TZEDEK LEGAL SERVICES,SOCIAL SERVICES GRANT 2016-17 COMMUNITY LEGAL SERVICES,"Social services grant for 2016-17. Legal services to community members.
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19.",A,grants,10/10/2016,09/30/2019,2,09/05/2018,"138,746.00","424,618.00",Social Services
008176,FRIENDS RESEARCH INSTITUTE INC,SOCIAL SERVICES GRANT 2016-17 HIV INTERVENTIONS,"Social services grant for 2016-17. HIV education and prevention.
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19.",A,grants,10/10/2016,09/30/2019,2,09/05/2018,"118,531.00","362,753.00",Social Services
008177,FRIENDS RESEARCH INSTITUTE INC,SOCIAL SERVICES GRANT 2016-17 OUTPATIENT SERVICES,"Social services grant for 2016-17. Intensive outpatient methamphetamine abuse treatment.
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19.",A,grants,10/10/2016,09/30/2019,2,09/05/2018,"114,476.00","350,343.00",Social Services
008178,HOUSING WORKS,SOCIAL SERVICES GRANT 2016-17 HOUSING SERVICES,"Social services grant for 2016-17.  Support housing services.
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19.",A,grants,10/10/2016,09/30/2019,5,03/06/2019,"123,624.00","423,338.00",Social Services
008179,JFS OF LOS ANGELES,SOCIAL SERVICES GRANT 2016-17 COMPREHENSIVE SERVICES,"Social services grant for 2016-17. For comprehensive services center for senior and disabled community members.
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19.",A,grants,10/10/2016,09/30/2019,4,03/06/2019,"890,842.00","2,766,184.00",Social Services
008180,JFS OF LOS ANGELES,SOCIAL SERVICES GRANT 2016-17 NUTRITION SUPPORT,"Social services grant for 2016-17. For nutrition support.
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19.",A,grants,10/10/2016,09/30/2019,3,03/06/2019,"399,142.00","1,225,281.00",Social Services
008181,JFS OF LOS ANGELES,SOCIAL SERVICES GRANT 2016-17 FOR FOOD PANTRY,"Social Services grant for 2016-17 for food pantry.
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19.",A,grants,10/11/2016,09/30/2019,2,09/05/2018,"91,744.00","280,774.00",Social Services
008184,HART ENVIRONMENTAL INC,ENVIRONMENTAL TESTING FOR HAZARDOUS MATERIALS,Environmental testing for hazardous materials.,A,profsvcs,10/12/2016,06/30/2020,1,06/22/2018,"25,000.00","25,000.00",Facilities & Field Services
008187,MAJESTIC FIRE INC,MAINTENANCE TO FIRE LIFE SAFETY SYSTEM,Service and repair to fire sprinkler safety system in City facilities.,A,profsvcs,10/12/2016,06/30/2020,2,06/20/2019,"25,000.00","400,000.00",Facilities & Field Services
008188,JVS SOCAL,SOCIAL SERVICES GRANT 2016-17 FOR EMPLOYMENT ASSISTANCE,"Social services 2016-17 for employment counseling and job readiness.
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19.",A,grants,10/13/2016,09/30/2019,3,11/13/2018,"173,673.00","531,508.00",Social Services
008189,LOS ANGELES LGBT CENTER,SOCIAL SERVICES GRANT 2016-17 MENTAL HEALTH SERVICES,"Social services 2016-17 for mental health services.
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19.",A,grants,10/13/2016,09/30/2019,3,05/08/2019,"149,681.00","463,085.00",Social Services
008190,LOS ANGELES LGBT CENTER,SOCIAL SERVICES GRANT 2016-17 FOR SEXUAL HEALTH SERVICES,"Social services grant for 2016-17 for Sexual Health services.
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19.",A,grants,10/13/2016,09/30/2019,5,01/28/2019,"222,878.00","760,854.00",Social Services
008191,LOS ANGELES LGBT CENTER,SOCIAL SERVICES GRANT FOR TRANSGENDER COMMUNITY SERVICES,"Social services grant 2016-17 for Transgender Economic Empowerment Project services. (TEEP)
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19.",A,grants,10/13/2016,09/30/2019,2,09/05/2018,"83,193.00","254,604.00",Social Services
008192,LOS ANGELES LGBT CENTER,SOCIAL SERVICES GRANT 2016-17 FOR HIV/STD PREVENTION,"WeHo Life - Social services grant 2016-17 for HIV/STD prevention.
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19.",A,grants,10/13/2016,09/30/2019,2,09/05/2018,"125,050.00","382,703.00",Social Services
008193,LOS ANGELES LGBT CENTER,SOCIAL SERVICES GRANT 2016-17 FOR YOUTH SERVICES,Social services grant for 2016-17 for Youth Services.,A,grants,10/13/2016,09/30/2019,3,09/05/2018,"117,391.00","364,199.00",Social Services
008194,MCINTYRE HOUSE,SOCIAL SERVICES GRANT 2016-17 FOR RECOVERY SERVICES,Social Services grant.,A,grants,10/13/2016,09/30/2019,2,09/05/2018,"83,081.00","254,262.00",Social Services
008195,MEN'S HEALTH FOUNDATION,SOCIAL SERVICES GRANT 2016-17 FOR HIV PREVENTION,"Social services grant 2016-17 for HIV prevention services.
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19.",A,grants,10/13/2016,09/30/2019,3,09/05/2018,"93,751.00","291,481.00",Social Services
008196,NATIONAL COUNCIL-JEWISH WOMEN,SOCIAL SERVICES GRANT 2016-17 FOR MENTAL HEALTH SERVICES,"Social Services grant 2016-17 for Community Mental Health and Support Services.
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19.",A,grants,10/13/2016,09/30/2019,3,09/05/2018,"134,414.00","338,690.00",Social Services
008198,PATHWAYS,SOCIAL SERVICES GRANT 2016-17 FOR PRESCHOOL,"Social services grant for preschool program at Plummer Park.
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19.",A,grants,10/13/2016,09/30/2019,3,02/05/2019,"101,691.00","321,216.00",Social Services
008199,PAWS/LA,SOCIAL SERVICES GRANT 2016-17 FOR ANIMAL CARE SERVICES,"Social services grant 2016-17 for Pets are Wonderful Support animal care services.
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19.",A,grants,10/13/2016,09/30/2019,2,09/05/2018,"55,865.00","170,969.00",Social Services
008200,PLANNED PARENTHOOD LOS ANGELES,SOCIAL SERVICES GRANT 2016-17 FOR HIV/STI PREVENTION,"Social Services grant 2016-17 for HIV and STI prevention.
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19.",A,grants,10/13/2016,09/30/2019,2,10/26/2018,"81,824.00","250,413.00",Social Services
008201,PROJECT ANGEL FOOD,SOCIAL SERVICES GRANT 2016-17 FOR NUTRITION SERVICES,"Social services grant 2016-17 for nutrition services to the homebound.
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19.",A,grants,10/13/2016,09/30/2019,3,09/05/2018,"83,820.00","265,522.00",Social Services
008202,SABAN COMMUNITY CLINIC,SOCIAL SERVICES GRANT 2016-17 FOR MEDICAL CLINIC,"Social services grant 2016-17 for medical and dental clinic services.
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19.",A,grants,10/13/2016,09/30/2019,2,09/05/2018,"192,051.00","587,753.00",Social Services
008203,ST. THOMAS- APOSTLE EPISCOPAL,SOCIAL SERVICES GRANT 2016-17 FOR BREAKFAST PROGRAM,"Social services grant 2016-17 for breakfast program and counseling services.
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19.",A,grants,10/13/2016,09/30/2019,3,03/06/2019,"10,000.00","32,104.00",Social Services
008204,STEP UP ON SECOND ST INC,SOCIAL SERVICES GRANT 2016-17 FOR COMMUNITY SERVICES,"Social services grant 2016-17 for multidisciplinary integrated services.
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19.",A,grants,10/13/2016,09/30/2019,2,09/05/2018,"230,114.00","769,151.00",Social Services
008205,DISABILITY COMMUNITY RESOURCE,SOCIAL SERVICES GRANT 2016-17 FOR INDEPENDENT LIVING SERVICES,"Social services grant 2016-17 for independent living services.
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19.  Amend. #2 allows month to month use of City space at 7362 Santa Monica Blvd.",A,grants,10/13/2016,09/30/2019,4,03/06/2019,"50,396.00","155,732.00",Social Services
008224,JOHN L HUNTER & ASSOCIATES,IMPLEMENT POLLUTION CONTROL SYSTEMS PROGRAM,Assistance in implementation of National Pollutant Dischage Elimination System permit.,A,profsvcs,10/19/2016,10/31/2020,3,08/16/2019,"190,360.00","470,720.00",Engineering
008241,WEST BASIN MUNICIPAL WATR DIST,GRANT FOR OCEAN FRIENDLY GARDEN DEMONSTRATION,City to received grant from Water District for drought tolerant ocean friendly garden demonstation project along Santa Monica Blvd. median.,A,grants,10/26/2016,09/19/2021,1,06/14/2018,"34,000.00","34,000.00",Facilities & Field Services
008245,PREMIER PARTNERSHIPS,DIGITAL BILLBOARD PROJECT SERVICES,"Services related to the Sunset Blvd. off-site signage study, digital billboard project.",A,profsvcs,10/27/2016,12/31/2019,2,02/13/2019,"37,500.00","117,500.00",Long Range Planning
008247,"TARZANA TREATMENT CENTERS, INC",SOCIAL SERVICES GRANT 2016-17 FOR SUBSTANCE USE TREATMENT,"Social Services grant 2016-17 Provide residential housing, transitional housing and substance use disorder treatment. Per bed treatment fee for service. Contract amount may be adjusted without amendment, estimated budget.
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19.",A,grants,11/02/2016,09/30/2019,4,03/06/2019,"160,000.00","494,007.00",Social Services
008248,SAFE REFUGE,SOCIAL SERVICES GRANT FOR RESIDENTIAL AND TRANSITIONAL HOUSING,"Social services grant for residential and transitional housing services.  Fee for service, per bed treatment night. Contract amount may be adjusted without amendment. Estimated budget.
RFP issued for Grant Years 2016-17, 2017-18, and 2018-19.  Contract awarded issued for 1st year.  Option to amend for second term 2017-18 and third term 2018-19.",A,grants,11/02/2016,09/30/2019,3,03/06/2019,"88,846.00","196,471.00",Social Services
008251,LA COUNTY MTA (INCENTIVE FNDS),MOU FOR DIAL A RIDE PROP A FUNDING,MOU for Prop A discretionary funding for Dial A Ride paratransit.,A,profsvcs,11/03/2016,06/30/2021,0,,0.00,0.00,Social Services
008252,LA COUNTY MTA (INCENTIVE FNDS),MOU FOR TAXI SUBSIDY PROGRAM PROP A FUNDS REIMBURSEMENT FOR,MOU for taxi subsidy program Prop A discretionary funds reimbursement.,A,profsvcs,11/03/2016,06/30/2021,0,,0.00,0.00,Social Services
008258,THE ROBERT GROUP,OUTREACH AND SOCIAL MEDIA SUPPORT FOR CRENSHAW LINE,Outreach and social media support for the northern extension of the Crenshaw Line.,A,profsvcs,11/16/2016,06/30/2020,2,04/16/2019,"20,000.00","171,250.00",Planning & Development Services Administration
008259,ZOO CREW PRODUCTIONS INC,PRODUCE CRENSHAW LINE EXTENSION INFORMATIONAL VIDEOS,Develop and produce informational videos for the Northern Extension of the Crenshaw Line.,A,profsvcs,11/16/2016,12/31/2019,3,02/12/2019,"10,000.00","25,000.00",Planning & Development Services Administration
008268,WGJ ENTERPRISES INC,ANNUAL STREET STRIPING AND MARKING,"Annual street striping, legends and road marking.  Two year agreement.",A,pworks,11/28/2016,09/30/2019,2,05/07/2019,"364,113.00","1,114,113.00",Facilities & Field Services
008280,MAGELLAN ADVISORS LLC,WIRELESS NETWORK INFRASTRUCTURE CONSULTING,Provide services related to wireless network infrastructure including Wireless Network Strategic Plan.,A,web/tech,12/07/2016,06/30/2020,2,06/11/2019,"100,000.00","100,000.00",Information Technology
008284,SO CAL MATERIAL HANDLING INC,FORKLIFT MAINTENANCE AND REPAIRS,Maintenance and repairs to City forklift.,A,profsvcs,12/07/2016,09/30/2020,1,10/02/2019,"20,000.00","20,000.00",Facilities & Field Services
008285,GIROUX GLASS INC,GLAZING INSTALLATIONS AND REPAIRS,"Glazing installations and repairs, facility board-up services as required.",A,profsvcs,12/07/2016,11/30/2019,1,12/21/2018,"25,000.00","45,000.00",Facilities & Field Services
008286,CITY OF BEVERLY HILLS,LEASE AGREEMENT ROBERTSON BLVD PARKING LOT,"License agreement to operate Robertson Blvd. public parking lot.  Base monthly rent $8,000. plus 50% of gross revenues exceeding $10,000.  (OK to go over the contract amount if revenues support such payments. - C Safriet)",A,lease,12/08/2016,11/07/2021,0,,"630,000.00","630,000.00",Parking
008290,GOLD METROPOLITAN MEDIA,BANNER INSTALLATION AND REMOVALS,Install and remove banners as required.,A,profsvcs,12/13/2016,10/31/2019,5,09/11/2019,"15,000.00","83,000.00",Media & Marketing
008291,MICHAEL BAKER INTERNATIONAL,PROVIDE TEMPORARY PLANNING STAFFING,"Provide temporary planning staff for vacancies and special projects.  Council approved contract value not to exceed $200,000. per fiscal year. (See contract admin comments.)",A,profsvcs,12/19/2016,07/01/2021,4,06/26/2019,"200,000.00","475,000.00",Planning & Development Services Administration
008292,RINCON CONSULTANTS INC,PROVIDE TEMPORARY PLANNING STAFF,"Provide temporary planning staff for vacancies or special projects. Contract value is not to exceed $200,000. per fiscal year.",A,profsvcs,12/20/2016,06/30/2021,2,07/09/2019,"200,000.00","400,000.00",Planning & Development Services Administration
008293,WILLDAN ASSOCIATES,PROVIDE TEMPORARY PLANNING STAFF,"Provide temporary planning staff for vacancies and special projects.  Council approved contract value not to exceed $200,000. per fiscal year.",A,profsvcs,12/20/2016,06/30/2021,2,07/08/2019,"200,000.00","400,000.00",Planning & Development Services Administration
008294,LACMTA,MOU FOR METRO PROPERTY VISIONING PROCESS,MOU for visioning process for Metro Division 7 property along Santa Monica Blvd.,A,specevents,12/27/2016,12/31/2020,0,,0.00,0.00,Planning & Development Services Administration
008300,SMITH-EMERY LABORATORIES INC,DEPUTY INSPECTION FOR WH PARK PHASE II CONSTRUCTION,"Deputy inspection services for construction of West Hollywood Park Phase II. Council approved $1,065,251. for contract amount and contingency of $159,788.",A,profsvcs,12/29/2016,12/31/2022,1,08/22/2019,"1,225,039.00","1,725,039.00",Facilities & Field Services
008302,GEOTECHNOLOGIES INC,GEOTECHNICIAL ENGINEERING SERVICES WH PARK PHASE II,"Geotechnical engineering services for West Hollywood Park Phase II.  Estimated fees $19,000., contingency/additional services $6,000.",A,profsvcs,12/29/2016,12/31/2020,0,,"25,000.00","25,000.00",Facilities & Field Services
008304,SYSTEMS SOURCE INC,PURCHASE AND INSTALLATION OF MODULAR OFFICE FURNITURE,Purchase and installation of modular office furnishings.,A,zgovpurag,01/09/2017,12/31/2020,1,10/31/2018,"125,000.00","125,000.00",Facilities & Field Services
008306,SINANIAN DEVELOPMENT INC,CONSTRUCTION FOR WEST HOLLYWOOD PARK PHASE II,"Prime contractor for West Hollywood Park Phase II construction.  Council approved the contract amount of $73,888,000. plus $5,541,600. contingency.",A,pworks,01/09/2017,06/30/2021,2,08/16/2017,"73,888,000.00","79,429,600.00",Facilities & Field Services
008312,R.C. LAO AIR CONDTNG & HEATING,MAINTENANCE AND REPAIRS TO ICE MACHINE,Maintenance and repairs to ice machine and small appliances.,A,profsvcs,01/12/2017,11/30/2019,0,,"25,000.00","25,000.00",Facilities & Field Services
008321,STANLEY ACCESS TECHNOLOGIES,DOOR MAINTENANCE AND REPAIRS AT WH LIBRARY,"Repairs and maintenance to sliding door and swing door units at West Hollywood Library.
Amend. #1 revises the scope of services to include all City facilities",A,profsvcs,01/24/2017,12/30/2019,1,09/27/2017,"25,000.00","25,000.00",Facilities & Field Services
008323,CHATTEL INC,CONSULTANT FOR HISTORIC PRESERVATION ISSUES,"Historic Preservation consultant services, including staff and commission training.",A,profsvcs,01/24/2017,06/30/2020,2,07/03/2019,"75,000.00","175,000.00",Current & Historic Preservation Planning
008324,"MCARDLE, KEVIN J",CONSULTANT RE WEST HOLLYWOOD PARK EXPANSION,"Research and assessment, develop facility use policies and procedures, organization and programming services.",A,profsvcs,01/25/2017,06/30/2020,1,07/20/2018,"28,972.00","71,022.00",Recreation Services
008330,"OCAMB, KAREN",DEVELOPMENT SERVICES FOR AIDS MONUMENT PROJECT,Research for development of a timeline for AIDS monument project.,A,profsvcs,02/03/2017,12/31/2019,2,03/05/2019,"30,000.00","30,000.00",Planning & Development Services Administration
008337,OPENDNS INC,PROVIDE 20 UMBRELLA SECURE HOTSPOTS,Provide 20 umbrella secure hotspots.,A,web/tech,02/10/2017,03/06/2020,0,,"8,644.00","8,644.00",Information Technology
008349,CLPF WEST HOLLYWOOD LP,LICENSE AGREEMENT FOR BIKE SHARE PROGRAM,"License agreement for Bike Share program at Gateway, area for self-serve bike hub with 6 bike racks.  (Clarion Lion Properties Fund Holdings, LP)",A,profsvcs,02/24/2017,08/30/2019,1,06/26/2019,0.00,0.00,Long Range Planning
008364,DANCE STUDIO SHOWTIME-KATUSHA,GRANT FOR DANCE INSTRUCTION EVENTS,Grant for dance instruction.,A,grants,02/27/2017,12/31/2019,3,04/10/2019,"2,500.00","10,000.00",Arts
008365,JUNE L MAZER LESBIAN ARCHIVES,MAZER COLLECTION,Grant for Mazer Archives re-opening at renovated Werle Building.,A,grants,02/27/2017,12/31/2019,4,02/28/2019,"2,500.00","7,500.00",Arts
008370,"KING VALET PARKING, INC",PARKING VALET CONCESSION AGREEMENT,"Concession agreement for public parking valet services. City will receive monthly rent for parking facilities.  Locations include: 8969 Santa Monica Blvd.(Pavilions), Robertson/Melrose; Melrose/LaPeer; Santa Monica/Robertson; Santa Monica/Larabee.",A,profsvcs,02/28/2017,06/30/2020,5,06/06/2019,"38,400.00","38,400.00",Parking
008372,GWYNNE PUGH URBAN STUDIO INC,URBAN DESIGNER PLANNING SERVICES,For urban designer planning services as needed.,A,profsvcs,02/28/2017,12/31/2019,4,12/20/2018,"25,000.00","260,000.00",Current & Historic Preservation Planning
008374,"ATKINSON, ANDELSON, LOYA, RUUD",ADVISORY AND LITIGATION SERVICES,"For advisory and litigation services. 
Note: There is no expiration date in contract language, set expiration to 6/30/27 and check in 10 years if it has not been closed.  (B. Rosen 7/27/18)",A,profsvcs,03/01/2017,06/30/2027,0,,"25,000.00","25,000.00",City Attorney
008383,"DUNAHEE, MONICA",IMPLEMENT WELLNESS FOR ALL AGES PROGRAM,"Implement wellness for all ages program for Aging in Place initiative, including coordination with Jewish Familty Services and Partners in Care Foundation.",A,profsvcs,03/06/2017,06/30/2020,4,06/26/2019,"17,500.00","71,000.00",Strategic Initiatives
008398,CYPRESS ENVIROSYSTEMS,"HVAC CONTROLS, PARTS AND SERVICING.","Provide HVAC controls, part and servicing for thermostats in City Hall.",A,profsvcs,03/10/2017,06/30/2020,0,,"25,000.00","25,000.00",Facilities & Field Services
008399,CBRE HEERY INC,ON-CALL CONSTRUCTION MANAGEMENT FOR CITY PROJECTS,On-call construction management services for City Projects.,A,profsvcs,03/10/2017,06/30/2021,0,,"150,000.00","150,000.00",Facilities & Field Services
008400,GRIFFIN STRUCTURES INC,ON-CALL CONSTRUCTION MANAGEMENT,On-call construction management services.,A,profsvcs,03/10/2017,11/06/2021,1,01/17/2018,"150,000.00","300,000.00",Facilities & Field Services
008406,BLUE HIBISCUS LP,AFFORDABLE HOUSING LOAN TO BLUE HIBISCUS LP,"Loan for affordable housing, Blue Hibiscus LP.",A,profsvcs,03/20/2017,11/15/2074,0,,"2,680,185.00","2,680,185.00",Rent Stabilization & Housing
008408,KOONTZ BUILDING LLC,LEASE AGMT FOR 8916 SANTA MONICA BLVD.,Lease of office space at 8916 Santa Monica Blvd. during West Hollywood Park construction.,A,lease,03/21/2017,03/31/2025,1,07/12/2019,"550,000.00","1,810,515.00",Facilities & Field Services
008410,FEHR & PEERS,ON CALL TRAFFIC AND TRANSPORTATION STUDIES,"On call traffic and transportation studies and analysis as required.  RFQ was issued for an annual not-to-exceed contract amount of $75,000. and was awarded on 3/21/17. Original term date was 6/30/19.",A,profsvcs,03/21/2017,06/30/2020,5,07/01/2019,"75,000.00","310,000.00",Long Range Planning
008412,KOA CORPORATION,ON CALL TRAFFIC & TRANSPORTATION ANALYSIS,On call traffic and transportation studies and analysis,A,profsvcs,03/21/2017,06/30/2020,1,07/22/2019,"75,000.00","75,000.00",Long Range Planning
008413,"NELSON/NYGAARD, INC",ON CALL TRAFFIC STUDIES AND ANALYSIS,On call traffic studies and analysis .,A,profsvcs,03/21/2017,06/30/2020,1,07/11/2019,"75,000.00","75,000.00",Long Range Planning
008414,GIBSON TRANSPORTATION,ON CALL TRAFFIC STUDIES AND ANALYSIS,On call traffic studies and analysis.,A,profsvcs,03/21/2017,06/30/2020,1,07/11/2019,"75,000.00","75,000.00",Long Range Planning
008415,STEER DAVIES & GLEAVE INC,ON CALL TRAFFIC STUDIES AND ANALYSIS,On call traffic studies and analysis.,A,profsvcs,03/21/2017,06/30/2020,1,10/03/2019,"75,000.00","75,000.00",Long Range Planning
008417,8490 SUNSET BOULEVARD OWNER,URBAN ART COVENANT,Covenant for public art project (The Dreamer) at The James Hotel.,A,profsvcs,03/22/2017,12/31/3000,0,,0.00,0.00,Arts
008420,"EMERSON, NORMAN",TRAFFIC STUDIES AND ANALYSIS,For traffic studies and analysis.,A,profsvcs,03/28/2017,06/30/2020,1,07/09/2019,"75,000.00","75,000.00",Long Range Planning
008431,PONY BOX DANCE THEATRE,GRANT FOR DANCE PERFORMANCE AT PLUMMER PARK,Grant for Dance performance at Plummer Park.,A,grants,03/29/2017,12/31/2019,3,04/10/2019,"2,500.00","10,000.00",Arts
008437,MAROON SOCIETY INC,CONSULTANT FOR HIV ZERO PROJECT,Consultant for HIV Zero project.,A,profsvcs,04/04/2017,12/31/2020,2,12/20/2018,"119,718.00","234,643.00",Social Services
008447,ECOMOTION INC,CONSULTANT FOR SOLAR PROJECTS,Consultant for solar projects for multifamily and commercial properties.,A,profsvcs,04/11/2017,06/30/2020,2,05/22/2019,"20,000.00","20,000.00",Long Range Planning
008463,LA CO/CHIEF INFORMATION OFFICE,PURCHASE AERIAL PHOTOGRAPHY AND LIDAR DATA,"Purchase aerial photography, building footprints and lidar data.
City shall receive, with the delivery of the Digital Data, an unlimited irrevocable perpetual, royalty free license.",A,web/tech,04/27/2017,05/30/2027,0,,"21,070.00","21,070.00",Information Technology
008464,SPCALA,SHELTERING AND CARE OF STRAY ANIMALS,Sheltering and care of stray animals and provide community workshops and classes.,A,profsvcs,04/28/2017,06/30/2021,1,06/26/2018,"10,300.00","41,200.00",Code Compliance
008498,HOMEBOY RECYCLING,DOCUMENT SHREDDING AND E-WASTE EVENT,Document shredding and e-waste event.,A,profsvcs,05/18/2017,06/30/2021,1,03/28/2019,"25,000.00","25,000.00",Engineering
008500,LA COUNTY MTA,FEDERAL SURFACE TRANSPORTATION PROGRAM LOCAL FUNDS EXCHANGE,"Exchange agreement with LACMTA related to Federal STP-L (Surface Transportation Program- Local Funds).    City is exchanging $909,779. in STPL funds for $891,583. in LACMTA Local Transportation Funds.  Note: Prior STP-L agreements are attached to the scan of this agmt, see also contract file",A,grants,05/23/2017,03/16/2022,0,,"909,779.00","909,779.00",Revenue Management
008502,CORT BUSINESS SVCS CORPORATION,SUPPLY OFFICE FURNITURE PER NJPA CONTRACT #31715,Supply new and used office furniture with related accessories and services per NJPA Contract #31715.,A,zgovpurag,05/24/2017,04/09/2020,0,,"40,000.00","40,000.00",Facilities & Field Services
008507,"LA COUNTY PARKS & REC, REG PARK OPEN SPACE",GRANT FOR WH PARK PHASE II AIDS MONUMENT,Grant agreement for West Hollywood Park Phase II Aids Monument.  Grant #58K8-17-2660,A,grants,05/30/2017,03/31/2022,1,01/14/2019,"220,000.00","220,000.00",Facilities & Field Services
