"Obj";"Organo";"Procedimiento de adjudicación";"Tipo de contrato";"Importe de licitación";"Importe de adjudicación";"Instrumento de publicación";"Número de licitadores";"Identidad del adjudicatario";"Ejercicio";"Código Expediente";"M"
"MATERIAL PARA EL LABORATORIO DE GENETICA";"SERVICIO ARAGONÉS DE SALUD";"Abierto";"Suministros";"1.955,39";"1.048,50";"https://servicios.aragon.es/pcon/pcon-public/";"";"VWR INTERNATIONAL EUROLAB S.L.";"2017";"CONEX20175200001247";""
"MATERIAL PARA EL LABORATORIO DE GENETICA";"SERVICIO ARAGONÉS DE SALUD";"Abierto";"Suministros";"37.157,52";"36.417,86";"https://servicios.aragon.es/pcon/pcon-public/";"";"DIAGNOSTICA LONGWOOD S.L.";"2017";"CONEX20175200001247";""
"DESTRUCTORAS DE DOCUMENTOS";"SERVICIO ARAGONÉS DE SALUD";"Contratación centralizada";"Suministros";"822,00";"822,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"SOLITIUM S.L.";"2017";"CONEX20175200001176";""
"PANTALLA DE PROYECCION ELECTRICA";"SERVICIO ARAGONÉS DE SALUD";"Contratación centralizada";"Suministros";"209,00";"209,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"SOLITIUM S.L.";"2017";"CONEX20175200001177";""
"SUMINISTRO DE ALIMENTOS PARA PACIENTES CON DISFAGIA";"SERVICIO ARAGONÉS DE SALUD";"Abierto";"Suministros";"132.545,47";"119.000,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"NESTLE ESPAÑA, S.A.";"2017";"CONEX20175200001220";""
"SUMINISTRO DE ALIMENTOS PARA PACIENTES CON DISFAGIA";"SERVICIO ARAGONÉS DE SALUD";"Abierto";"Suministros";"26.727,26";"24.500,01";"https://servicios.aragon.es/pcon/pcon-public/";"";"CONGELADOS ARIZA SL";"2017";"CONEX20175200001220";""
"LICENCIA IMAGEN SINTETIZADA P/MAMOGRAFO HOLOGIC";"SERVICIO ARAGONÉS DE SALUD";"Negociado";"Suministros";"30.000,00";"30.000,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"EMSOR, S.A. EMSOR, SA";"2017";"CONEX20175200001221";""
"SERVICIO PROCEDIMIENTOS DE DIAGNOSTICO: RESONANCIAS (CONCIER";"SERVICIO ARAGONÉS DE SALUD";"Negociado";"Servicios";"58.000,00";"52.000,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"CLINICA MONTPELLIER GRUPO HLA,
SAU";"2017";"CONEX20175200001222";""
"SERVICIO PROCEDIMIENTOS DE DIAGNOSTICO: RESONANCIAS (CONCIER";"SERVICIO ARAGONÉS DE SALUD";"Negociado";"Servicios";"92.250,00";"73.500,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"RADIOPIXEL S.L.";"2017";"CONEX20175200001222";""
"MATERIAL NECESARIO PARA SECUENCIACION MASICA NGS <0,5 >0,5";"SERVICIO ARAGONÉS DE SALUD";"Negociado";"Suministros";"416.232,00";"380.088,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"SISTEMAS GENOMICOS SL";"2017";"CONEX20175200001223";""
"MATERIAL NECESARIO PARA CGH ARRAY GENETICA";"SERVICIO ARAGONÉS DE SALUD";"Abierto";"Suministros";"121.824,00";"121.536,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"PALEX MEDICAL, S.A.";"2017";"CONEX20175200001224";""
"MANTENIMIENTO INTEGRAL DE LOS EQUIPOS DE CENTRAL DE ESTERILIZACI";"SERVICIO ARAGONÉS DE SALUD";"Abierto";"Servicios";"136.363,64";"122.727,36";"https://servicios.aragon.es/pcon/pcon-public/";"";"STERIS IBERIA SA";"2017";"CONEX20175200001225";""
"MATERIAL PARA ESPECTROMETRIA POR TANDEM MASAS";"SERVICIO ARAGONÉS DE SALUD";"Abierto";"Suministros";"196.236,00";"196.236,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"PERKINELMER ESPAÑA SL";"2017";"CONEX20175200001226";""
"MATERIAL TRAT. VENAS VARICOSAS C/FIBRAS OPTICAS EMISION LUZ";"SERVICIO ARAGONÉS DE SALUD";"Abierto";"Suministros";"151.759,35";"151.759,35";"https://servicios.aragon.es/pcon/pcon-public/";"";"LOGSA ENDOMEDICA SL";"2017";"CONEX20175200001228";""
"INSTRUMENTAL PARA ATENCION PRIMARIA Y HOSPITAL "MIGUEL SERVE";"SERVICIO ARAGONÉS DE SALUD";"Negociado";"Suministros";"14.554,90";"8.846,53";"https://servicios.aragon.es/pcon/pcon-public/";"";"PILCHER PEREZ RICARDO
ERIC";"2017";"CONEX20175200001229";""
"INSTRUMENTAL PARA ATENCION PRIMARIA Y HOSPITAL "MIGUEL SERVE";"SERVICIO ARAGONÉS DE SALUD";"Negociado";"Suministros";"16.681,90";"16.668,35";"https://servicios.aragon.es/pcon/pcon-public/";"";"B BRAUN SURGICAL S.A.";"2017";"CONEX20175200001229";""
"INSTRUMENTAL PARA ATENCION PRIMARIA Y HOSPITAL "MIGUEL SERVE";"SERVICIO ARAGONÉS DE SALUD";"Negociado";"Suministros";"464,99";"428,36";"https://servicios.aragon.es/pcon/pcon-public/";"";"IBOR ORTOPEDIA Y MEDICINA
S.L.";"2017";"CONEX20175200001229";""
"SERVICIO DE SEGURIDAD";"SERVICIO ARAGONÉS DE SALUD";"Negociado";"Servicios";"290.582,50";"286.545,73";"https://servicios.aragon.es/pcon/pcon-public/";"";"GARDA SERVICIOS DE SEGURIDAD S.A.";"2017";"CONEX20175200001277";""
"RESONANCIAS MAGNÉTICAS EN INSTALACIONES FIJAS";"SERVICIO ARAGONÉS DE SALUD";"Contratación centralizada";"Servicios";"166.240,00";"140.970,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"CLINICA MONTPELLIER GRUPO HLA,
SAU";"2017";"CONEX20175200001294";""
"RESONANCIAS MAGNÉTICAS EN INSTALACIONES FIJAS";"SERVICIO ARAGONÉS DE SALUD";"Contratación centralizada";"Servicios";"7.635,00";"6.740,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"DRA ROCA DIAGNOSTICO MEDICO
S.L.";"2017";"CONEX20175200001294";""
"VEHICULOS TODOTERRENO CM 30 I/17 PRI";"SERVICIO ARAGONÉS DE SALUD";"Contratación centralizada";"Suministros";"33.232,80";"33.232,80";"https://servicios.aragon.es/pcon/pcon-public/";"";"VEHICULOS DE ARAGON S.L.";"2017";"CONEX20175200001274";""
"SERVICIO DE MATENIMIENTO DE LOS EQUIPOS DE ENDOSCOPIA";"SERVICIO ARAGONÉS DE SALUD";"Abierto";"Servicios";"58.264,46";"57.840,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"SISTEMAS TECNICOS ENDOSCOPICOS SA";"2017";"CONEX20175200001290";""
"MATERIAL PARA ECOGRAFIAS, MAMOGRAFIAS Y GENITO URINARIO";"SERVICIO ARAGONÉS DE SALUD";"Abierto";"Suministros";"176.528,92";"176.520,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"MEDTRONIC IBERICA S.A.";"2017";"CONEX20175200001231";""
"MATERIAL PARA ECOGRAFIAS, MAMOGRAFIAS Y GENITO URINARIO";"SERVICIO ARAGONÉS DE SALUD";"Abierto";"Suministros";"1.735,54";"1.700,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"CRIVEL S.A.";"2017";"CONEX20175200001231";""
"MATERIAL PARA ECOGRAFIAS, MAMOGRAFIAS Y GENITO URINARIO";"SERVICIO ARAGONÉS DE SALUD";"Abierto";"Suministros";"140.875,69";"140.250,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"LELEMAN S.L.";"2017";"CONEX20175200001231";""
"MATERIAL PARA ECOGRAFIAS, MAMOGRAFIAS Y GENITO URINARIO";"SERVICIO ARAGONÉS DE SALUD";"Abierto";"Suministros";"4.859,51";"4.760,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"SUMINISTROS CLINICOS LANAU SL";"2017";"CONEX20175200001231";""
"2 AULAS IES CASTEJÓN DE SOS";"EDUCACIÓN, CULTURA Y DEPORTE";"Abierto";"Suministros";"27.000,00";"24.189,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"RENTA DE MAQUINARIA S.L.U.";"2017";"CONLT20171800000327";""
"Suministro vehículo gama media";"EDUCACIÓN, CULTURA Y DEPORTE";"Derivado de acuerdo marco";"Suministros";"13.988,02";"13.132,71";"https://servicios.aragon.es/pcon/pcon-public/";"";"CIVERA AUTOMOCION S.A.";"2017";"CONAD20171800000542";""
"Procedimientos quirúrgicos- Cirugía Gral. con hospitalización";"SANIDAD";"Derivado de acuerdo marco";"Servicios";"155.151,83";"139.733,62";"https://servicios.aragon.es/pcon/pcon-public/";"";"CLINICA MONTECANAL SL";"2017";"CONAD20171600000262";""
"Procedimientos quirúrgicos - Urología con hospitalización";"SANIDAD";"Derivado de acuerdo marco";"Servicios";"6.075,00";"5.467,50";"https://servicios.aragon.es/pcon/pcon-public/";"";"CLINICA MONTECANAL SL";"2017";"CONAD20171600000263";""
"Procedimientos quirúrgicos - Traumatología con Hospitalización";"SANIDAD";"Derivado de acuerdo marco";"Servicios";"241.083,86";"155.850,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"IDCQ HOSPITALES Y SANIDAD
S.L.U.";"2017";"CONAD20171600000266";""
"Procedimientos quirúrgicos- Traumatologia CMA";"SANIDAD";"Derivado de acuerdo marco";"Servicios";"16.771,50";"12.898,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"CLINICA MONTPELLIER GRUPO HLA, SAU";"2017";"CONAD20171600000267";""
"Procedimientos quirúrgicos - Cirugía General CMA";"SANIDAD";"Derivado de acuerdo marco";"Servicios";"14.863,44";"12.764,80";"https://servicios.aragon.es/pcon/pcon-public/";"";"UTE CLINICA DEL PILAR LEY 18/1982";"2017";"CONAD20171600000276";""
"Procedimientos quirúrgicos- Angiologia y C. vascular Hospitalización";"SANIDAD";"Derivado de acuerdo marco";"Servicios";"25.319,03";"19.700,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"CLINICA MONTPELLIER GRUPO HLA,
SAU";"2017";"CONAD20171600000277";""
"VEHÍCULO CONSEJERÍA ECONOMÍA, INDUSTRIA Y EMPLEO";"ECONOMÍA, INDUSTRIA Y EMPLEO";"Derivado de acuerdo marco";"Suministros";"19.284,82";"17.294,01";"https://servicios.aragon.es/pcon/pcon-public/";"";"PIRENAUTO S.L.";"2017";"CONAD20171500000040";""
"SEGURIDAD IES PIRAMIDE, IFPE SAN BLAS, MOVERA Y MONTEARAGON";"EDUCACIÓN, CULTURA Y DEPORTE";"Derivado de acuerdo marco";"Servicios";"198.346,34";"197.431,84";"https://servicios.aragon.es/pcon/pcon-public/";"";"EULEN SEGURIDAD
S.A.";"2017";"CONAD20171800000389";""
"REDACCIÓN Y ELABORACIÓN PGS ALQUÉZAR";"VERTEBRACIÓN DEL TERRITORIO, MOVILIDAD Y VIVIENDA";"Derivado de acuerdo marco";"Servicios";"25.183,00";"25.183,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"CANALS LARDIES MARIA
PIA";"2017";"CONAD20171300000177";""
"ADQUISICIÓN VEHÍCULO CONSEJERO DEPARTAMENTO";"HACIENDA Y ADMINISTRACIÓN PÚBLICA";"Derivado de acuerdo marco";"Suministros";"19.284,82";"17.656,97";"https://servicios.aragon.es/pcon/pcon-public/";"";"PIRENAUTO S.L.";"2017";"CONAD20171200000116";""
"DGD SUMINISTRO HOMOLOGADO ESTOR";"EDUCACIÓN, CULTURA Y DEPORTE";"Derivado de acuerdo marco";"Suministros";"98,48";"98,48";"https://servicios.aragon.es/pcon/pcon-public/";"";"EL CORTE INGLES S.A.";"2017";"CONAD20171800000771";""
"Adquisición de fotocopiadora-SGT";"SANIDAD";"Derivado de acuerdo marco";"Suministros";"1.506,35";"1.506,35";"https://servicios.aragon.es/pcon/pcon-public/";"";"SOLITIUM S.L.";"2017";"CONAD20171600000241";""
"PRENDAS DE TRABAJO GUARDAS DE MONUMENTOS S. PROV. HUESCA";"EDUCACIÓN, CULTURA Y DEPORTE";"Derivado de acuerdo marco";"Suministros";"371,84";"230,18";"https://servicios.aragon.es/pcon/pcon-public/";"";"CONFECCIONES OROEL
S.A.";"2017";"CONAD20171800000580";""
"Sublote 3.10.H: Angiología y Cirugía Vascular Expte 179/17";"SANIDAD";"Derivado de acuerdo marco";"Servicios";"22.058,25";"18.770,75";"https://servicios.aragon.es/pcon/pcon-public/";"";"UTE CLINICA DEL PILAR LEY
18/1982";"2017";"CONAD20171600000238";""
"PRENDAS DE TRABAJO GUARDAS DE MONUMENTOS S. PROV. HUESCA";"EDUCACIÓN, CULTURA Y DEPORTE";"Derivado de acuerdo marco";"Suministros";"987,12";"648,84";"https://servicios.aragon.es/pcon/pcon-public/";"";"EL CORTE INGLES
S.A.";"2017";"CONAD20171800000581";""
"Procedimientoa quirúrgicos - C. Gral. hospitalización";"SANIDAD";"Derivado de acuerdo marco";"Servicios";"103.487,06";"93.217,41";"https://servicios.aragon.es/pcon/pcon-public/";"";"CLINICA MONTECANAL SL";"2017";"CONAD20171600000273";""
"Procedimientos quirúrgicos - traumatologia CMA";"SANIDAD";"Derivado de acuerdo marco";"Servicios";"56.946,62";"48.390,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"CLINICA MONTECANAL SL";"2017";"CONAD20171600000274";""
"Procedimientos quirúrgicos - C. Gral CMA";"SANIDAD";"Derivado de acuerdo marco";"Servicios";"12.450,00";"10.600,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"CLINICA MONTPELLIER GRUPO HLA, SAU";"2017";"CONAD20171600000275";""
"Procedimientos quirúrgicos -Traumatologia con hospitalización";"SANIDAD";"Derivado de acuerdo marco";"Servicios";"228.283,70";"138.040,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"CLINICA MONTPELLIER GRUPO HLA,
SAU";"2017";"CONAD20171600000280";""
"GASOLEO DE CALEFACCIÓN CENTROS IAJ 2018-2019";"INSTITUTO ARAGONÉS DE LA JUVENTUD";"Derivado de acuerdo marco";"Suministros";"71.900,83";"71.900,83";"https://servicios.aragon.es/pcon/pcon-public/";"";"REPSOL COMERCIAL DE
PRODUCTOS";"2017";"CONAD20175500000046";""
"145 RB74076 SEG INFRAESTRUC. USO PÚBLICO PN ORDESA";"DESARROLLO RURAL Y SOSTENIBILIDAD";"Por administración";"Servicios";"140.137,52";"140.137,52";"https://servicios.aragon.es/pcon/pcon-public/";"";"SDAD ARAGONESA DE
GESTION";"2017";"CONAD20171400000305";""
"Obras de reforma planta calle Avenida Cesar Augusto 11(antigua zona mamogra";"SANIDAD";"Por administración";"Obras";"49.712,68";"49.566,30";"https://servicios.aragon.es/pcon/pcon-public/";"";"SANCHEZ PRIETO PEDRO";"2017";"CONAD20171600000259";""
"ADQUISICION 4 VEHICULOS GAMA BAJA";"SANIDAD";"Derivado de acuerdo marco";"Suministros";"42.909,08";"34.196,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"SUERO MOTOR S.L.U.";"2017";"CONMY20171600000305";""
"SUMINISTRO EQUIPO MULTIFUNCIÓN GERENCIA INAEM";"INSTITUTO ARAGONÉS DE EMPLEO";"Derivado de acuerdo marco";"Suministros";"3.368,00";"3.095,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"SOLITIUM S.L.";"2017";"CONAD20175100000195";""
"2.3 HUESCA. LÁCTEOS";"EDUCACIÓN, CULTURA Y DEPORTE";"Abierto";"Suministros";"5.513,30";"3.560,18";"https://servicios.aragon.es/pcon/pcon-public/";"";"CORPORACION ALIMENTARIA GUISSONA SA";"2017";"CONLT20171800000145";""
"2.4 HUESCA. COLONIALES";"EDUCACIÓN, CULTURA Y DEPORTE";"Abierto";"Suministros";"13.670,32";"11.338,52";"https://servicios.aragon.es/pcon/pcon-public/";"";"SERVILINE FOODS SL";"2017";"CONLT20171800000146";""
"2.5 HUESCA. CONGELADOS";"EDUCACIÓN, CULTURA Y DEPORTE";"Abierto";"Suministros";"37.872,90";"29.401,78";"https://servicios.aragon.es/pcon/pcon-public/";"";"DISTRIBUCIONES RODRIGO S.A.";"2017";"CONLT20171800000147";""
"3.1 TERUEL. CARNE Y EMBUTIDOS";"EDUCACIÓN, CULTURA Y DEPORTE";"Abierto";"Suministros";"12.865,16";"11.226,18";"https://servicios.aragon.es/pcon/pcon-public/";"";"PROFESIONALES DE LA CARNE S.L.";"2017";"CONLT20171800000150";""
"3.2 TERUEL. ACEITE";"EDUCACIÓN, CULTURA Y DEPORTE";"Abierto";"Suministros";"1.555,00";"1.550,60";"https://servicios.aragon.es/pcon/pcon-public/";"";"SERVILINE FOODS SL";"2017";"CONLT20171800000151";""
"3.3 TERUEL. LÁCTEOS";"EDUCACIÓN, CULTURA Y DEPORTE";"Abierto";"Suministros";"2.987,24";"2.521,80";"https://servicios.aragon.es/pcon/pcon-public/";"";"DISTRIBUCIONES RODRIGO S.A.";"2017";"CONLT20171800000152";""
"3.4 TERUEL. COLONIALES";"EDUCACIÓN, CULTURA Y DEPORTE";"Abierto";"Suministros";"4.837,02";"3.950,48";"https://servicios.aragon.es/pcon/pcon-public/";"";"SERVILINE FOODS SL";"2017";"CONLT20171800000153";""
"3.5 TERUEL. CONGELADOS";"EDUCACIÓN, CULTURA Y DEPORTE";"Abierto";"Suministros";"7.490,56";"6.380,42";"https://servicios.aragon.es/pcon/pcon-public/";"";"SERVILINE FOODS SL";"2017";"CONLT20171800000154";""
"Procedimientos quirúrgicos - Angiologia y C. Vascular CMA";"SANIDAD";"Derivado de acuerdo marco";"Servicios";"8.747,07";"6.400,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"CLINICA MONTPELLIER GRUPO HLA,
SAU";"2017";"CONAD20171600000278";""
"Sublote 3.10.H:Angiología/Cirg Vasc Expte 184/17";"SANIDAD";"Derivado de acuerdo marco";"Servicios";"36.520,78";"31.074,98";"https://servicios.aragon.es/pcon/pcon-public/";"";"UTE CLINICA DEL PILAR LEY 18/1982";"2017";"CONAD20171600000281";""
"Suministro equipo de proyección Aula Walqa - CTA";"INSTITUTO ARAGONÉS DE EMPLEO";"Derivado de acuerdo marco";"Suministros";"677,81";"546,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"CANON ESPAÑA S.A.";"2017";"CONAD20175100000189";""
"Procedimientos quirúrgicos -Traumatologia CMA";"SANIDAD";"Derivado de acuerdo marco";"Servicios";"53.038,72";"41.063,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"CLINICA MONTPELLIER GRUPO HLA, SAU";"2017";"CONAD20171600000261";""
"SUMINISTRO VEHICULO REPRESENTACION IASS";"INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES";"Derivado de acuerdo marco";"Suministros";"20.041,87";"16.996,54";"https://servicios.aragon.es/pcon/pcon-public/";"";"PIRENAUTO
S.L.";"2017";"CONAD20175300000529";""
"I-170034 DOMINIO PUBLICO PECUARIO";"INSTITUTO ARAGONÉS DE GESTIÓN AMBIENTAL";"Negociado";"Servicios";"16.520,00";"13.794,20";"https://servicios.aragon.es/pcon/pcon-public/";"";"GRUPO UNICA UNION CARTOGRAFICA ARAG";"2017";"CONLT20177500000041";""
"I-170035 DOMINIO PUBLICO PECUARIO";"INSTITUTO ARAGONÉS DE GESTIÓN AMBIENTAL";"Negociado";"Servicios";"16.520,00";"14.042,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"TECNICA Y PROYECTOS S.A.";"2017";"CONLT20177500000042";""
"I-170036 DOMINIO PUBLICO PECUARIO";"INSTITUTO ARAGONÉS DE GESTIÓN AMBIENTAL";"Negociado";"Servicios";"16.520,00";"14.868,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"AREALES REDONDO DAVID";"2017";"CONLT20177500000043";""
"AMPLIACIÓN SERVICIO DE RED C.S. DE ALCAÑIZ";"SERVICIO ARAGONÉS DE SALUD";"Por administración";"Servicios";"1.573,32";"1.573,32";"https://servicios.aragon.es/pcon/pcon-public/";"";"ARAGONESA DE SERVICIOS TELEMATICOS";"2017";"CONAD20175200000663";""
"REDACCIÓN Y ELABORACIÓN PGS ESCUCHA";"VERTEBRACIÓN DEL TERRITORIO, MOVILIDAD Y VIVIENDA";"Derivado de acuerdo marco";"Servicios";"26.000,00";"26.000,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"ARQUITECTURA INGENIERIA
TOPOGRAFIA";"2017";"CONAD20171300000178";""
"REDACCIÓN Y ELABORACIÓN PGS BISAURRI";"VERTEBRACIÓN DEL TERRITORIO, MOVILIDAD Y VIVIENDA";"Derivado de acuerdo marco";"Servicios";"20.500,00";"20.500,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"EUREKA ARQUITECTURA IDEAS
S.L.P.";"2017";"CONAD20171300000180";""
"C8/2017. NONASPE (Z) AT REDACCION PROYECTO EDAR";"INSTITUTO ARAGONÉS DEL AGUA";"Negociado";"Servicios";"41.802,32";"28.800,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"SERV CONSULTORES INGENIER.Y ARQUIT.";"2017";"CONMY20177200000016";""
"Sublote 2.9.CMA:Traumatología Expte Nº 183/17";"SANIDAD";"Derivado de acuerdo marco";"Servicios";"14.308,82";"12.179,54";"https://servicios.aragon.es/pcon/pcon-public/";"";"UTE CLINICA DEL PILAR LEY 18/1982";"2017";"CONAD20171600000239";""
"GESTIÓN Y MTO. CATÁLOGO CONTRATACIÓN CENTRALIZADA";"HACIENDA Y ADMINISTRACIÓN PÚBLICA";"Por administración";"Servicios";"15.600,00";"15.600,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"ARAGONESA DE SERVICIOS
TELEMATICOS";"2017";"CONAD20171200000114";""
"IMPLENTACION APP MOVIL ARAGON_HOY E15 AMDCD_2017_001";"ENTIDAD PÚBLICA ARAGONESA DE SERVICIOS TELEMÁTICOS";"Derivado de acuerdo marco";"Servicios";"20.597,00";"18.894,90";"https://servicios.aragon.es/pcon/pcon-public/";"";"KEEN SOFTWARE
S.L.";"2017";"CONMY20177100000045";""
"ESTABILIZ. Y CONSOLID. TALUD EN A-226 P.K. 121+500.-T.M. CASTELLOTE";"VERTEBRACIÓN DEL TERRITORIO, MOVILIDAD Y VIVIENDA";"Negociado";"Obras";"67.768,59";"67.768,59";"https://servicios.aragon.es/pcon/pcon-public/";"";"SEANTO
S.L.";"2017";"CONAD20171300000139";""
"146 RB74012 PLANES DE GESTIÓN NATURA 2000";"DESARROLLO RURAL Y SOSTENIBILIDAD";"Por administración";"Servicios";"181.235,80";"181.235,80";"https://servicios.aragon.es/pcon/pcon-public/";"";"SDAD ARAGONESA DE GESTION";"2017";"CONAD20171400000304";""
"CONTRATO ENERGÍA ELÉCTRICA 2018-2019";"INSTITUTO ARAGONÉS DE LA JUVENTUD";"Derivado de acuerdo marco";"Suministros";"62.809,92";"62.809,92";"https://servicios.aragon.es/pcon/pcon-public/";"";"ENDESA ENERGIA S.A.";"2017";"CONAD20175500000045";""
"Adecuacion aulas 2017: adquisición de 55 PDI";"EDUCACIÓN, CULTURA Y DEPORTE";"Derivado de acuerdo marco";"Suministros";"46.626,25";"20.185,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"CANON ESPAÑA S.A.";"2017";"CONAD20171800000514";""
"Sublote 3.11.H:Traumatología Expte 187/17";"SANIDAD";"Derivado de acuerdo marco";"Servicios";"22.841,50";"15.900,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"CLINICA MONTPELLIER GRUPO HLA, SAU";"2017";"CONAD20171600000284";""
"I-170031 MONTES PUBLICOS Y PRIVADOS Y OTROS DOMINIOS P.";"INSTITUTO ARAGONÉS DE GESTIÓN AMBIENTAL";"Negociado";"Servicios";"16.520,00";"13.500,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"NÁJERA CHIVA
ANALÍA";"2017";"CONLT20177500000036";""
"I-170032 MONTES PUBLICOS Y PRIVADOS Y OTROS DOMINIOS P.";"INSTITUTO ARAGONÉS DE GESTIÓN AMBIENTAL";"Negociado";"Servicios";"16.520,00";"13.711,60";"https://servicios.aragon.es/pcon/pcon-public/";"";"CALIDAD Y ESTUDIOS ASESORIA
SL";"2017";"CONLT20177500000038";""
"I-170033 MONTES PUBLICOS Y PRIVADOS Y OTROS DOMINIOS P.";"INSTITUTO ARAGONÉS DE GESTIÓN AMBIENTAL";"Negociado";"Servicios";"16.520,00";"14.000,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"NATURALEZA TECNOLOGIA APLICADA
SLP";"2017";"CONLT20177500000039";""
"SILLERÍA PARA AMUEBLAR TACPA";"HACIENDA Y ADMINISTRACIÓN PÚBLICA";"Derivado de acuerdo marco";"Suministros";"2.020,60";"2.020,60";"https://servicios.aragon.es/pcon/pcon-public/";"";"TORRES EQUIPAMIENTOS DE OFICINAS";"2017";"CONAD20171200000137";""
"YEI- ZARAGOZA CENTROS PROPIOS";"INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES";"Abierto";"Servicios";"338.749,80";"270.994,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"FUNDACION FEDERICO OZANAM";"2017";"CONLT20175300000774";""
"YEI- ZARAGOZA CENTROS CONCERTADOS";"INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES";"Abierto";"Servicios";"338.749,80";"270.994,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"FUNDACION FEDERICO OZANAM";"2017";"CONLT20175300000775";""
"YEI- HUESCA";"INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES";"Abierto";"Servicios";"135.320,10";"117.354,07";"https://servicios.aragon.es/pcon/pcon-public/";"";"ARQUISOCIAL S.L.";"2017";"CONLT20175300000776";""
"YEI- TERUEL";"INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES";"Abierto";"Servicios";"89.722,04";"71.752,63";"https://servicios.aragon.es/pcon/pcon-public/";"";"FUNDACION FEDERICO OZANAM";"2017";"CONLT20175300000777";""
"Sublote 3.2.H:Cirugía Gral/Digestiva Expte 186/17";"SANIDAD";"Derivado de acuerdo marco";"Servicios";"21.557,36";"19.416,89";"https://servicios.aragon.es/pcon/pcon-public/";"";"CLINICA MONTECANAL SL";"2017";"CONAD20171600000283";""
"EQUIPOS MULTIFUNCIÓN JULIO-17";"SANIDAD";"Derivado de acuerdo marco";"Suministros";"2.778,00";"2.778,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"SOLITIUM S.L.";"2017";"CONAD20171600000245";""
"Sublote 2.9.CMA:Traumatología Expte 185/17";"SANIDAD";"Derivado de acuerdo marco";"Servicios";"15.274,34";"11.928,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"CLINICA MONTPELLIER GRUPO HLA, SAU";"2017";"CONAD20171600000282";""
"Sublote 2.9.CMA: Traumatología Expte 177/17";"SANIDAD";"Derivado de acuerdo marco";"Servicios";"13.505,70";"11.492,55";"https://servicios.aragon.es/pcon/pcon-public/";"";"UTE CLINICA DEL PILAR LEY 18/1982";"2017";"CONAD20171600000237";""
"146 TB73368 RECUPERACIÓN FLORA ENDÉMICA AMENAZADA TERUEL";"DESARROLLO RURAL Y SOSTENIBILIDAD";"Por administración";"Servicios";"19.981,31";"19.981,31";"https://servicios.aragon.es/pcon/pcon-public/";"";"SDAD ARAGONESA DE
GESTION";"2017";"CONAD20171400000395";""
"REDACCIÓN Y ELABORACIÓN PGS GRISÉN";"VERTEBRACIÓN DEL TERRITORIO, MOVILIDAD Y VIVIENDA";"Derivado de acuerdo marco";"Servicios";"20.500,00";"20.500,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"EUREKA ARQUITECTURA IDEAS
S.L.P.";"2017";"CONAD20171300000169";""
