Ao;Mes;Descripcin Centro;Organismo;Nmero Contrato;Nmero Expediente;Descripcin Contrato;Tipo Contrato;Procedimiento Adjudicacin;Artculo;Apartado;Criterios Adjudicacin;Presupuesto Total(IVA Incluido);Importe Adjudicacin (IVA Incluido);Plazo;Fecha Adjudicacin;Nombre/Razn Social;NIF/CIF Adjudicatario;Fecha Formalizacin;Acuerdo Marco;Ingreso/Coste Cero;Observaciones;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE BARAJAS;202000152;300/2019/00633;CABALGATA 2019-2020, 2020-2021   Y CARNAVAL  2020-2021 EN EL DISTRITO DE BARAJAS. LOTE 2;Servicios;Abierto;;;Pluralidad de criterios;49820.54;38689.75;14.7;27/11/2019;MERINO Y MERINO PRODUCCIONES, S.L.;B81590606;23/12/2019; ;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE CHAMART֎;202000153;105/2019/00493;EL LOTE TIENE POR OBJETO LAS OBRAS DE REFORMA, REPARACION Y CONSERVACION DE LOS EDIFICIOS DESTINADOS A CENTROS EDUCATIVOS (CENTROS DE EDUCACION INFANTIL Y PRIMARIA, ESCUELAS INFANTILES Y CENTROS DE EDUCACION ESPECIAL) CUYA COMPETENCIA CORRESPONDE AL DISTRITO. LOTE 1.;Obras;Abierto;;;Pluralidad de criterios;0.00;0.00;24;11/11/2019;UTE EULEN S.A. - OBRAS Y SERVICIOS TAGA, S.A. - INLLAMA, S.A.;U88501457;04/12/2019;SI;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE SERVICIOS FUNERARIOS Y CEMENTERIOS DE MADRID, S.A.;202000154;SFC/2019/00058;SUMINISTRO DE CINTA DE ALUMINIO PARA LA EMSFYCM, S.A.;Suministro;Negociado sin publicidad;168;a) apartado 1;;2314.13;2268.75;12;22/11/2019;COMERCIAL DE INDUSTRIA Y REPRESENTACIONES, S.L.;B87753364;02/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000155;MDC/2019/00239;SUMINISTRO EN REGIMEN DE ARRENDAMIENTO, TRANSPORTE, MONTAJE, MANTENIMIENTO Y DESMONTAJE DEL TRAMO 2 DE LAS GRADAS A INSTALAR CON MOTIVO DE LA CABALGATA DE REYES DE MADRID 2020;Suministro;Negociado sin publicidad;168;a) apartado 2;;63283.00;63270.90;0.6;20/12/2019;ESTRUCTURAS EVEREST PLUS, S.L.;B19658855;23/12/2019; ;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE HORTALEZA;202000156;118/2019/00583;OBRAS DE REFORMA, REPARACION Y CONSERVACION DE LOS EDIFICIOS DESTINADOS A CENTROS EDUCATIVOS (CENTROS DE EDUCACION INFANTIL Y PRIMARIA, ESCUELAS INFANTILES Y CENTROS DE EDUCACION ESPECIAL). LOTE 1;Obras;Abierto;;;Pluralidad de criterios;0.00;0.00;24;15/11/2019;EULEN, S.A.;A28517308;12/12/2019;SI;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;202000157;300/2019/00942;SUMINISTRO DE DIVERSO MATERIAL FUNGIBLE DE FERRETERIA PARA SAMUR-PROTECCION CIVIL;Suministro;Abierto simplificado;;;Un unico criterio;47550.22;47550.22;2;13/12/2019;REDONDO Y GARCIA, S.A.;A28021350;27/12/2019; ;;(*) : ESTE CONTRATO CUENTA CON IGUAL PRESUPUESTO DE LICITACIΠY ADJUDICACIΠPORQUE SE HA ADJUDICADO POR PRECIOS UNITARIOS.;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE HORTALEZA;202000158;118/2019/00583;OBRAS DE REFORMA, REPARACION Y CONSERVACION DE LOS EDIFICIOS DE USO DEPORTIVO (CENTROS DEPORTIVOS MUNICIPALES E INSTALACIONES DEPORTIVAS BASICAS). LOTE 2;Obras;Abierto;;;Pluralidad de criterios;0.00;0.00;24;15/11/2019;EULEN, S.A.;A28517308;12/12/2019;SI;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE HORTALEZA;202000159;118/2019/00583;OBRAS DE REFORMA, REPARACION Y CONSERVACION DE LOS EDIFICIOS DE USO ADMINISTRATIVO, CULTURAL, SERVICIOS SOCIALES. LOTE 3;Obras;Abierto;;;Pluralidad de criterios;0.00;0.00;24;15/11/2019;OHL SERVICIOS INGESAN SA;A27178789;12/12/2019;SI;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE HORTALEZA;202000160;118/2019/00583;OBRAS DE REFORMA, REPARACION Y CONSERVACION DE ESPACIOS PUBLICOS, YA SEAN EN ZONAS VERDES O EN VIAS PUBLICAS. LOTE 4;Obras;Abierto;;;Pluralidad de criterios;0.00;0.00;24;15/11/2019;"FCC CONSTRUCCION; S.A.";A28854727;16/12/2019;SI;;;;;;;;;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000161;MDC/2019/00270;"PR19-0431 ESPECTACULO CALLEJERO DENOMINADO  ""EL HUMANO DESEO"" A PRESTAR EL 5 DE ENERO DE 2020 (CABALGATA 2020)";Servicios;Negociado sin publicidad;168;a) apartado 2;;85958.40;85958.40;0.2;27/12/2019;MISTER NILSON CONJUNCIONES, S.L.;B85214351;30/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE SERVICIOS FUNERARIOS Y CEMENTERIOS DE MADRID, S.A.;202000162;SFC/2019/00059;SERVICIOS DE PROGRAMACION EN INFORMIX/GENERO PARA LA EMSFYCM, S.A.;Servicios;Abierto simplificado sumario;;;Un unico criterio;16897.65;16897.65;3.5;12/12/2019;FOUR J'S SOFTWARE IBERICA, S.L.;B83951418;12/12/2019; ;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE CHAMBERֻ;202000163;107/2018/03729;CONTRATO DE CONCESION DE SERVICIOS DEL TEATRO GALILEO DEL DISTRITO DE CHAMBERI;Concesin de Servicios;Restringido;;;Pluralidad de criterios;590497.28;326700.00;36;28/11/2019;TEATROS LUCHANA, S.L.;B86749298;29/11/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;202000164;EVS/2019/00061;SERVICIOS DE VIGILANCIA Y SEGURIDAD DE LOS INMUEBLES DEPENDIENTES DE LA EMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;Servicios;Abierto;;;Pluralidad de criterios;4361966.40;4014602.83;12;22/11/2019;COMPAIA DE SEGURIDAD OMEGA, S.A.;A41199472;20/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000165;MDC/2019/00261;ESTUDIO SOBRE EL SECTOR AUDIOVISUAL EN LA CIUDAD DE MADRID;Servicios;Abierto;;;Pluralidad de criterios;50820.00;40656.00;5;10/12/2019;AFI CONSULTORES ADMINISTRACIONES PUBLICAS SA;A81062820;17/12/2019; ;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;REA DE GOBIERNO DE FAMILIAS, IGUALDAD Y BIENESTAR SOCIAL;202000166;300/2019/00415;SUMINISTRO E INSTALACION DE JUEGOS DE EXTERIOR PARA 12 NUEVAS ESCUELAS INFANTILES DE TITULARIDAD MUNICIPAL. LOTE 1;Suministro;Abierto;;;Pluralidad de criterios;117527.30;98487.88;1;20/11/2019;ALMENARA EQUIPAMIENTOS, SLL;B11824174;17/12/2019; ;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;REA DE GOBIERNO DE FAMILIAS, IGUALDAD Y BIENESTAR SOCIAL;202000167;300/2019/00415;SUMINISTRO E INSTALACION DE JUEGOS DE EXTERIOR PARA 12 NUEVAS ESCUELAS INFANTILES DE TITULARIDAD MUNICIPAL. LOTE 2;Suministro;Abierto;;;Pluralidad de criterios;130808.26;108570.86;1;20/11/2019;PRODEL, SA;A28748515;19/12/2019; ;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;REA DE GOBIERNO DE FAMILIAS, IGUALDAD Y BIENESTAR SOCIAL;202000168;300/2019/00415;SUMINISTRO E INSTALACION DE JUEGOS DE EXTERIOR PARA 12 NUEVAS ESCUELAS INFANTILES DE TITULARIDAD MUNICIPAL. LOTE 3;Suministro;Abierto;;;Pluralidad de criterios;114632.98;92852.71;1;20/11/2019;PRODEL, SA;A28748515;19/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000169;MDC/2019/00254;SERVICIOS DE ALOJAMIENTO, SOPORTE A USUARIOS Y EVOLUTIVOS DE LA PLATAFORMA DE VENTA DE ENTRADAS DE MADRID DESTINO CULTURA, TURISMO Y NEGOCIO, S.A.;Servicios;Abierto;;;Pluralidad de criterios;181500.00;181500.00;14;18/11/2019;NETBERRY SERVICIOS DE INTERNET, S.L.;B02293207;18/12/2019; ;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE BARAJAS;202000170;300/2019/00897;SERVICIO DE BAR EN EL CENTRO SOCIO-CULTURAL JUVENIL GLORIA FUERTES, DEL DISTRITO DE BARAJAS ;Servicios;Abierto;;;Un unico criterio;24386.34;23650.00;24;12/11/2019;DOLORES FERNANDEZ REGIDOR;50954681K;11/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000171;MDC/2019/00275;"PR19-0444 SERVICIOS DE DIRECCION DE ESCENA DEL ESPECTACULO TEATRAL ""DIALOGO DE LO AMARGO"" PARA SU EXHIBICION EN LA SALA PRINCIPAL DE TEATRO DE 5 AL 29 DE MARZO DE 2020 (TEATRO ESPAOL)";Servicios;Negociado sin publicidad;168;a) apartado 2;;23353.00;23353.00;3;04/12/2019;FRANCISCO SUAREZ MONTAO;08744677P;05/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE TRANSPORTES S.A.;202000172;EMT/2019/00038;DISEO, DESARROLLO E IMPLANTACION DE UN SISTEMA DE GESTION DE PROCESOS;Servicios;Abierto;;;Pluralidad de criterios;1028500.00;712413.66;24.16;27/11/2019;HABBER TEC S.L.;B81739781;27/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000173;MDC/2019/00218;REGULAR LA PRESTACION DEL SERVCIO DE DIRECTOR ADJUNTO A LA DIRECCION ARTISTICA CONTRATADA CON NATALIA MENENDEZ DEL TEATRO ESPAOL Y DE LAS DENIMINADAS NAVES DEL ESPAOL.;Servicios;Negociado sin publicidad;168;a) apartado 2;;418600.00;418600.00;48;23/10/2019;LUIS LUQUE CABRERA;50311043S;07/11/2019; ;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE SAN BLAS-CANILLEJAS;202000174;300/2019/00288;SUMINISTRO Y DISTRIBUCION DE PRENSA EN LOS CINCO CENTROS MUNICIPALES DE MAYORES DEL DISTRITO SAN BLAS-CANILLEJAS;Suministro;Abierto simplificado;;;Un unico criterio;19998.38;19260.54;24;02/12/2019;DIRPUBLI S L;B86932860;16/12/2019; ;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;REA DE GOBIERNO DE FAMILIAS, IGUALDAD Y BIENESTAR SOCIAL;202000175;300/2019/00893;SUMINISTRO DE INSTRUMENTOS MUSICALES PARA  LA RED DE ESCUELAS MUNICIPALES DE MUSICA Y DANZA DEL AYUNTAMIENTO DE MADRID. LOTE 3;Suministro;Abierto simplificado;;;Pluralidad de criterios;10899.99;9488.47;1;26/12/2019;EIZAGUIRRE ORDOKI M. ISABEL;15037031E;02/01/2020; ;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;REA DE GOBIERNO DE FAMILIAS, IGUALDAD Y BIENESTAR SOCIAL;202000176;300/2019/00893;SUMINISTRO DE INSTRUMENTOS MUSICALES PARA  LA RED DE ESCUELAS MUNICIPALES DE MUSICA Y DANZA DEL AYUNTAMIENTO DE MADRID. LOTE 4;Suministro;Abierto simplificado;;;Pluralidad de criterios;7200.01;5868.01;1;26/12/2019;EIZAGUIRRE ORDOKI M. ISABEL;15037031E;02/01/2020; ;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;REA DE GOBIERNO DE FAMILIAS, IGUALDAD Y BIENESTAR SOCIAL;202000177;300/2019/00893;SUMINISTRO DE INSTRUMENTOS MUSICALES PARA  LA RED DE ESCUELAS MUNICIPALES DE MUSICA Y DANZA DEL AYUNTAMIENTO DE MADRID. LOTE 5;Suministro;Abierto simplificado;;;Pluralidad de criterios;45200.03;39346.74;1;30/12/2019;EIZAGUIRRE ORDOKI M. ISABEL;15037031E;15/01/2020; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE SERVICIOS FUNERARIOS Y CEMENTERIOS DE MADRID, S.A.;202000178;SFC/2019/00038;"DOTAR A LA EMSFYCM, S.A. DE LA MEJOR SOLUCION A NIVEL DE PROCESOS Y APLICACIONES PARA EL AREA DE CONTROL DE GESTION EN LOS AMBITOS DE ""PRESUPUESTACION, FORECAST Y REPORTING"" INCLUYENDO INTEGRACION NECESARIA CON PLATAFORMAS DE TERCEROS ASI COMO LA CORRESPONDIENTE MIGRACION Y PUESTA EN MARCHA.";Servicios;Abierto;;;Pluralidad de criterios;235848.36;199529.00;36;09/10/2019;QUENTAL TECHNOLOGIES S.L.;B83150474;30/10/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE SERVICIOS FUNERARIOS Y CEMENTERIOS DE MADRID, S.A.;202000179;SFC/2019/00054;DOTAR A LA EMSFYCM, S.A. DE LA MEJOR SOLUCION DE TIENDA, PUNTO DE VENTA FISICO Y ON.LINE (E-COMMERCE) PARA EL AREA DE COMERCIAL Y SERVICIOS, INCLUYENDO LA INTEGRACION NECESARIA CON PLATAFORMAS A TERCEROS, ASI COMO LA CORRESPONDIENTE MIGRACION Y PUESTA EN MARCHA DESDE LA SITUACION ACTUAL.;Servicios;Abierto;;;Pluralidad de criterios;100430.00;91374.89;36;13/12/2019;I.C.A. INFORMATICA Y COMUNICACIONES AVANZADAS, S.L.;B28893139;10/01/2020; ;;;;;;;;;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000180;MDC/2019/00219;"SERVICIOS DE REALIZACION, PRODUCCION Y EJECUCION DE LAS REPRESENTACIONES DE LOS CONCIERTOS Y ACTIVIDADES PARALELAS DEL ""XXV FESTIVAL LOS GRANDES DEL GOSPEL MADRID"" EN TEATRO FERNAN GOMEZ. CENTRO CULTURAL DE LA VILLA";Servicios;Negociado sin publicidad;168;a) apartado 2;;229355.50;229355.50;0.56;25/10/2019;THE PROJECT MUSIC COMPANY, S.L;B65015075;29/11/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000181;MDC/2019/00262;LOTE 1. SERVICIO DE MANTENIMIENTO INTEGRAL Y ASISTENCIA A EVENTOS DE LOS RECINTOS FERIALES DE LA CASA DE CAMPO;Servicios;Abierto;;;Pluralidad de criterios;1535258.38;1364210.02;24;02/12/2019;CLECE S.A;A80364243;27/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000182;MDC/2019/00262;LOTE 2. SERVICIO DE MANTENIMIENTO INTEGRAL Y ASISTENCIA A EVENTOS DEL COMPLEJO MATADERO Y LOS EDIFICIOS DE TURISMO (CASA DE LA PANADERIA, SEORES DE LUZON Y PUNTOS DE INFORMACION TURISTICA);Servicios;Abierto;;;Pluralidad de criterios;961306.98;929795.56;24;02/12/2019;CLECE S.A;A80364243;27/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000183;MDC/2019/00232;SERVICIO AUXILIAR EN SALA DE EXPOSICIONES EN EL ESPACIO CULTURAL DE LA SALA DE EXPOSICIONES DEL FERNAN GOMEZ. CENTRO CULTURAL DE LA VILLA;Servicios;Abierto;;;Pluralidad de criterios;96779.67;96779.67;7.5;22/11/2019;SELECTIVA SERVICIOS AUXILIARES, S.L.;B84495837;29/11/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000184;MDC/2019/00251;SUMINISTRO EN REGIMEN DE ARRENDAMIENTO, TRANSPORTE, MONTAJE, MANTENIMIENTO Y DESMONTAJE DE LAS GRADAS A INSTALAR CON MOTIVO DE LA CELEBRACION DE LA CABALGATA DE REYES DE MADRID 2020 - TRAMO 1;Suministro;Abierto;;;Pluralidad de criterios;61952.00;55756.80;0.5;29/11/2019;NUSSLI IBERIA, S.A.;A63893895;26/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000185;MDC/2019/00271;PR19-0428 DIRECCION ARTISTICA PARA LA ACTIVIDAD CULTURAL (AO NUEVO CHINO 2020);Servicios;Negociado sin publicidad;168;a) apartado 2;;52488.99;52488.99;2;11/12/2019;KNOWHAO EVENTOS, S.L.;B88366620;11/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE TRANSPORTES S.A.;202000186;EMT/2019/00006;EJECUCION DE OBRAS EN APARTAMENTOS DE EMT EN TORREMOLINOS;Obras;Abierto simplificado;;;Pluralidad de criterios;134367.55;133342.00;2;04/07/2019;SERANCO, S.A.;A79189940;12/07/2019; ;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE CHAMART֎;202000187;105/2019/00493;EL LOTE 2 TIENE POR OBJETO LAS OBRAS DE REFORMA, REPARACION Y CONSERVACION DE LOS EDIFICIOS DE USO DEPORTIVO (CENTRO DEPORTIVOS MUNICIPALES E INSTALACIONES DEPORTIVAS BASICAS) CUYA COMPETENCIA CORRESPONDE AL DISTRITO;Obras;Abierto;;;Pluralidad de criterios;0.00;0.00;24;11/11/2019;UTE OHL SERVICIOS INGESAN, S.A. Y OBRASCON HUARTE LAIN, S.A.;U88486527;04/12/2019;SI;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE CHAMART֎;202000188;105/2019/00493;EL LOTE  3 TIENE POR OBJETO LAS OBRAS DE REFORMA, REPARACION Y CONSERVACION DE LOS EDIFICIOS DE USO ADMINISTRATIVO, CULTURAL, SERVICIOS SOCIALES Y OTROS CUYA COMPETENCIA CORRESPONDE AL DISTRITO.;Obras;Abierto;;;Pluralidad de criterios;0.00;0.00;24;11/11/2019;UTE EULEN S.A. - OBRAS Y SERVICIOS TAGA, S.A. - INLLAMA, S.A.;U88500418;04/12/2019;SI;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE CHAMART֎;202000189;105/2019/00493;EL LOTE 4 TIENE POR OBJETO LAS OBRAS DE REFORMA, REPARACION Y CONSERVACION DE ESPACIOS PUBLICOS, YA SEAN EN ZONAS VERDES O EN VIAS PUBLICAS CUYA COMPETENCIA CORRESPONDE AL DISTRITO.;Obras;Abierto;;;Pluralidad de criterios;0.00;0.00;24;11/11/2019;UTE CONSTRUCCIONES RICO S.A. - LICUAS, S.A.;U88498118;04/12/2019;SI;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE CHAMART֎;202000190;300/2018/02177;ADECUACION DE PASOS PEATONALES EN C/ LUIS CABRERA Y C/ HIEDRA E INSTALACION DE RAMPA EN PARQUE DE GLORIA FUERTES EN EL DISTRITO DE CHAMARTIN.  ;Obras;Abierto simplificado sumario;;;Pluralidad de criterios;67290.00;58643.22;4;03/10/2019;API MOVILIDAD, S.A.;A78015880;09/10/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE TRANSPORTES S.A.;202000191;EMT/2019/00092;MANTENIMIENTO DE LOS SISTEMAS TECNOLOGICOS EMBARCADOS EN LOS AUTOBUSES DE LA EMT DE MADRID Y SUMINISTRO DE CONSOLA DE CONDUCTOR - LOTES 1 Y 2;Servicios;Abierto;;;Pluralidad de criterios;23084116.83;21692292.23;48;27/11/2019;ELECTRONIC TRAFIC, S.A. E INFORMATICA EL CORTE INGLES, S.A. UNION TEMPORAL DE EMPRESAS, LEY 18/1982;U88553854;30/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE SERVICIOS FUNERARIOS Y CEMENTERIOS DE MADRID, S.A.;202000192;SFC/2019/00044;SERVICIOS EN MATERIA DE PREVENCION DE RIESGOS LABORALES, ASI COMO ACTIVIDADES PUNTUALES DE APOYO AL SSP EN VIGILANCIA DE LA SALUD DE LA EMSFYCM, S.A.;Servicios;Abierto simplificado;;;Pluralidad de criterios;56931.79;50925.53;24;28/10/2019;CUALTIS, S. L.;B84527977;11/11/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE SERVICIOS FUNERARIOS Y CEMENTERIOS DE MADRID, S.A.;202000193;SFC/2019/00040;(LOTE 1) SERVICIO DE MANTENIMIENTO PREVENTIVO Y LA REPARACION DE LOS HORNOS CREMATORIOS SITOS EN LOS CEMENTERIOS DE NTRA. SRA. DE LA ALMUDENA, CEMENTERIO DE CARABANCHEL Y CEMENTERIO SUR DE MADRID PARA LA EMSFYCM, S.A.;Servicios;Abierto;;;Pluralidad de criterios;152343.60;150820.15;12;16/09/2019;APLICACIONES TECNICAS RACIONALIZACION Y OPTIMIZACION DE LA ENERGIA, S.A.;A28633253;10/10/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE SERVICIOS FUNERARIOS Y CEMENTERIOS DE MADRID, S.A.;202000194;SFC/2019/00040;(LOTE 2) SERVICIO DE CONDUCCION DE LOS HORNOS CREMATORIOS SITOS EN LOS CEMENTERIOS DE NTRA. SRA. DE LA ALMUDENA Y CEMENTERIO DE CARABNACHEL-SUR PROPIEDAD DE LA EMSFYCM, S.A.;Servicios;Abierto;;;Pluralidad de criterios;76880.98;76156.19;12;16/09/2019;APLICACIONES TECNICAS RACIONALIZACION Y OPTIMIZACION DE LA ENERGIA, S.A.;A28633253;10/10/2019; ;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;REA DE GOBIERNO DE FAMILIAS, IGUALDAD Y BIENESTAR SOCIAL;202000195;300/2019/00299;CLASES DE APOYO Y REFUERZO EDUCATIVO DE LOS/AS MENORES DE LA RESIDENCIA INTERNADO SAN ILDEFONSO DURANTE LOS CURSOS ESCOLARES 2019/2020 Y 2020/2021.;Servicios;Abierto simplificado;;;Pluralidad de criterios;49884.96;30739.50;16.96;26/12/2019;IDRA SOCIOEDUCATIVO, S.L.;B82321803;07/01/2020; ;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;REA DE GOBIERNO DE FAMILIAS, IGUALDAD Y BIENESTAR SOCIAL;202000196;300/2019/00893;SUMINISTRO DE INSTRUMENTOS MUSICALES PARA  LA RED DE ESCUELAS MUNICIPALES DE MUSICA Y DANZA DEL AYUNTAMIENTO DE MADRID. LOTE 1;Suministro;Abierto simplificado;;;Pluralidad de criterios;28500.00;26391.01;1;26/12/2019;POLIMUSICA S.A.;A28415610;30/12/2019; ;;;;;;;;;;
2020;Febrero;EMPRESAS;EMPRESA MUNICIPAL DE TRANSPORTES S.A.;202000197;EMT/2019/00073;SERVICIO DE MEDICION DE EMISIONES EN LOS CENTROS DE OPERACIONES DE LA EMT DE MADRID, SEGUN REAL DECRETO 100/2011;Servicios;Abierto simplificado;;;Un unico criterio;13189.00;6655.00;12;27/12/2019;"EUROCONTROL; S.A.";A28318012;24/01/2020; ;;;;;;;;;;
2020;Febrero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000198;MDC/2019/00259;SERVICIOS DE CODIRECCION ARTISTICA EN EL AMBITO DE LAS ARTES ESCENICAS, VISUALES Y PLASTICAS DEL TEATRO FERNAN GOMEZ. CENTRO CULTURAL DE LA VILLA;Servicios;Negociado sin publicidad;168;a) apartado 2;;357500.00;357500.00;48;13/12/2019;MAMBRINO, S.L.;B81554883;20/12/2019; ;;;;;;;;;;
2020;Febrero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000199;MDC/2019/00220;PRESTACION DEL SERVICIO DE RESPONSABLE DE PRODUCCION ARTISTICA EN RELACION CON LA DIRECCION ARTISTICA CONTRATADA CON NATALIA MENENDEZ DEL TEATRO ESPAOL Y DE LAS DENOMINADAS NAVES DEL ESPAOL.;Servicios;Negociado sin publicidad;168;a) apartado 2;;376040.00;376040.00;48;25/10/2019;FERNANDO BONELLI HERNANDEZ;50861584M;11/11/2019; ;;;;;;;;;;
2020;Febrero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000200;MDC/2019/00257;SERVICIO DE PERSONAL DE INFORMACION, AUXILIAR Y JEFE DE EQUIPO, A PRESTAR CON MOTIVO DE LA CELEBRACION DE LAS ACTIVIDADES CULTURALES QUE DESARROLLE MADRID DESTINO;Servicios;Abierto;;;Pluralidad de criterios;116929.56;98676.86;12.6;13/12/2019;MAXIMA FULL SERVICES, S.L.;B70572698;16/12/2019; ;;;;;;;;;;
2020;Febrero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000201;MDC/2019/00221;SERVICIO DE GESTION DEL CAFE NAVES MATADERO MADRID, CON INCLUSION DE PRODUCTOS DE COMERCIO JUSTO. INGRESO;Concesin de Servicios;Abierto;;;Pluralidad de criterios;509983.34;521926.04;48;09/10/2019;LA FRANCACHELA CATERING Y RESTAURACION, S.L.;B88410345;18/10/2019; ;SI;;;;;;;;;
2020;Febrero;AYUNTAMIENTO DE MADRID;DISTRITO DE LATINA;202000202;300/2018/02063;PRESTACION DEL SERVICIO DE ATENCION SOCIAL Y ALIMENTARIA A LAS PERSONAS MAYORES EN LOS COMEDORES DE LOS C.M. MAYORES DE CAMPAMENTO, LUCERO Y C. BERMEJO QUE INCLUYE PRODUCTOS DE COMERCIO JUSTO.;Servicios;Abierto;;;Pluralidad de criterios;94675.14;85450.20;18;29/11/2019;DOLORES FERNANDEZ REGIDOR;50954681K;30/12/2019; ;;;;;;;;;;
2020;Febrero;EMPRESAS;EMPRESA MUNICIPAL DE TRANSPORTES S.A.;202000203;EMT/2019/00155;AMPLIACION DEL CONTRATO 16/036/3 RELATIVO AL SERVICIO DE MANTENIMIENTO DE LOS SISTEMAS SAE-EBUS Y VEA DE EMT DE MADRID;Suministro;Negociado sin publicidad;168;c) apartado 2;;387100.56;348603.30;0.43;13/12/2019;UTE ELECTRONIC TRAFIC S.A. E INDRA SISTEMAS S.A. ;U87629978;19/12/2019; ;;;;;;;;;;
