Obj,Organo,Procedimiento de adjudicación,Tipo de contrato,Importe de licitación,Importe de adjudicación,Identidad del adjudicatario,Ejercicio,Código Expediente,M
material para sistemas de infusion,SERVICIO ARAGONÉS DE SALUD,Negociado,Suministros,12561.1,12561.1,SMITHS MEDICAL ESPAÑA SL,2017,CONEX20175200000255,
material para sistemas de infusion,SERVICIO ARAGONÉS DE SALUD,Negociado,Suministros,2434.09,2434.09,IZASA HOSPITAL S.L.U.,2017,CONEX20175200000255,
mantenimiento acelerador lineal primus,SERVICIO ARAGONÉS DE SALUD,Negociado,Servicios,68000.0,68000.0,"SIEMENS HEALTHCARE, S.L.",2017,CONEX20175200001343,
servicio de lavandería de ejea y tarazona,SERVICIO ARAGONÉS DE SALUD,Abierto,Servicios,49586.62,48107.68,EL CIERZO Y LA RETAMA SL,2017,CONEX20175200000258,
suministro de material para osteosintesis (traumatología),SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,4612.43,4604.36,JOHNSON & JOHNSON S.A.,2017,CONEX20175200000259,
suministro de material para osteosintesis (traumatología),SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,106313.64,106295.26,BESTMEDIC SL,2017,CONEX20175200000259,
suministro de material para osteosintesis (traumatología),SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,111590.12,111034.56,STRYKER IBERIA SL,2017,CONEX20175200000259,
suministro de material para osteosintesis (traumatología),SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,7768.18,7768.18,MBA INCORPORADO S.L.,2017,CONEX20175200000259,
suministro de material para osteosintesis (traumatología),SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,31092.0,27244.45,"ZIMMER BIOMET SPAIN, S.L.U.",2017,CONEX20175200000259,
servicio de manten. de equipos electromed. gral. electric,SERVICIO ARAGONÉS DE SALUD,Abierto,Servicios,65604.13,58882.0,CEDYT SISTEMAS DIAGNOSTICOS SL,2017,CONEX20175200000261,
servicio mantenimiento equipo litotricia marca dornier,SERVICIO ARAGONÉS DE SALUD,Negociado,Servicios,90000.0,90000.0,DORNIER MEDTECH ESPAÑA S.L.,2017,CONEX20175200000262,
sobres e impresos,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,19386.13,18844.84,"GRAFICAS KALKO ARAGON, S.L.",2017,CONEX20175200000263,
sobres e impresos,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,10873.99,10677.55,TOMPLA INDUSTRIA INTERNACIONAL DEL,2017,CONEX20175200000263,
gasoleo calefaccion,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,9557.02,9556.83,REPSOL COMERCIAL DE PRODUCTOS,2017,CONEX20175200000438,
gasoleo calefaccion,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,839.66,839.66,REPSOL COMERCIAL DE PRODUCTOS,2017,CONEX20175200000439,
gasoleo calefaccion,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,746.48,746.47,REPSOL COMERCIAL DE PRODUCTOS,2017,CONEX20175200000440,
gasoleo calefaccion,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,885.43,885.43,REPSOL COMERCIAL DE PRODUCTOS,2017,CONEX20175200000441,
gasoleo calefaccion,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,1029.39,1029.37,REPSOL COMERCIAL DE PRODUCTOS,2017,CONEX20175200000442,
endoprotesis aortica fenestrada personalizada,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,58250.0,58250.0,COOK ESPAÑA S.A.,2017,CONEX20175200000454,
endoprotesis aortica fenestrada personalizada,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,59250.0,59250.0,GESTION INTEGRAL DE CLINICAS S.L.,2017,CONEX20175200000454,
"servicio de transporte de muestras clínicas, sangre y ropa",SERVICIO ARAGONÉS DE SALUD,Abierto,Servicios,39385.5,30030.0,VELOX LOGISTICA 2006 S.L.,2017,CONEX20175200000500,
"servicio de transporte de muestras clínicas, sangre y ropa",SERVICIO ARAGONÉS DE SALUD,Abierto,Servicios,30250.0,22920.0,TRADELEO SL,2017,CONEX20175200000500,
servicio de diálisis peritoneal domiciliaria,SERVICIO ARAGONÉS DE SALUD,Abierto,Servicios,196286.21,196286.21,BAXTER SL,2017,CONEX20175200000532,
servicio mantenimiento aparatos elevadores varios centros,SERVICIO ARAGONÉS DE SALUD,Abierto,Servicios,50400.0,13440.0,ZARDOYA OTIS S.A.,2017,CONEX20175200000540,
mto integral de equipos angiografos marca siemens,SERVICIO ARAGONÉS DE SALUD,Abierto,Servicios,162052.76,162052.7,"SIEMENS HEALTHCARE, S.L.",2017,CONEX20175200000455,
reactivos para el servicio de hematologia y banco de sangre,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,3682.26,3140.0,MENARINI DIAGNOSTICOS S.A.,2017,CONEX20175200000456,
reactivos para el servicio de hematologia y banco de sangre,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,11749.68,11746.0,BECTON DICKINSON S.A.,2017,CONEX20175200000456,
reactivos para el servicio de hematologia y banco de sangre,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,21197.16,17939.66,GRIFOLS MOVACO S.A.,2017,CONEX20175200000456,
reactivos para el servicio de hematologia y banco de sangre,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,250797.04,246338.96,COMERCIAL RAFER SL,2017,CONEX20175200000456,
reactivos para el servicio de hematologia y banco de sangre,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,2305.78,2250.0,DIAGNOSTICA LONGWOOD S.L.,2017,CONEX20175200000456,
reactivos para el servicio de hematologia y banco de sangre,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,4310.24,4266.72,SUMINISTROS CLINICOS LANAU SL,2017,CONEX20175200000456,
reactivos para el servicio de hematologia y banco de sangre,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,18816.52,17943.46,IMMUCOR S.L.,2017,CONEX20175200000456,
reactivos para el servicio de hematologia y banco de sangre,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,7904.96,7887.32,ROCHE DIAGNOSTICS S.L.,2017,CONEX20175200000456,
reactivos para el servicio de hematologia y banco de sangre,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,760.0,420.0,IMMUNOSTEP SL,2017,CONEX20175200000456,
bolsas colectoras de orina y material recogida de muestras,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,1833.52,1701.0,VYGON S.A.,2017,CONEX20175200000097,
bolsas colectoras de orina y material recogida de muestras,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,24075.3,15356.8,"COLOPLAST PRODUCTOS MEDICOS, SA",2017,CONEX20175200000097,
bolsas colectoras de orina y material recogida de muestras,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,35400.0,35400.0,BECTON DICKINSON S.A.,2017,CONEX20175200000097,
bolsas colectoras de orina y material recogida de muestras,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,15548.35,15548.35,"COVACA, SA",2017,CONEX20175200000097,
bolsas colectoras de orina y material recogida de muestras,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,10537.25,1264.9,HOLLISTER IBERICA S.A.,2017,CONEX20175200000097,
bolsas colectoras de orina y material recogida de muestras,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,1302.0,735.0,AKRALAB SL,2017,CONEX20175200000097,
bolsas colectoras de orina y material recogida de muestras,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,1793.4,1579.9,VWR INTERNATIONAL EUROLAB S.L.,2017,CONEX20175200000097,
bolsas colectoras de orina y material recogida de muestras,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,49273.5,49047.0,CONVATEC S.L.,2017,CONEX20175200000097,
bolsas colectoras de orina y material recogida de muestras,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,245.45,243.0,LABOLAN SL,2017,CONEX20175200000097,
bolsas colectoras de orina y material recogida de muestras,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,525287.22,429911.36,SUMINISTROS CLINICOS LANAU SL,2017,CONEX20175200000097,
bolsas colectoras de orina y material recogida de muestras,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,1160.0,87.0,"IGROBE RODAR 2001, S.L.",2017,CONEX20175200000097,
bolsas colectoras de orina y material recogida de muestras,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,31717.41,31636.45,"LAMBRA, S.L.",2017,CONEX20175200000097,
bolsas colectoras de orina y material recogida de muestras,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,16086.7,12595.05,INTERSURGICAL ESPAÑA S.L.,2017,CONEX20175200000097,
bolsas colectoras de orina y material recogida de muestras,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,129865.42,128963.75,IZASA HOSPITAL S.L.U.,2017,CONEX20175200000097,
bolsas colectoras de orina y material recogida de muestras,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,11750.23,5883.29,IMARK-HOSPITAL S.L.,2017,CONEX20175200000097,
viveres 2017,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,154674.75,154622.59,CORPORACION ALIMENTARIA GUISSONA SA,2017,CONEX20175200000099,
viveres 2017,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,134406.77,126872.98,DISTRIBUCIONES RODRIGO S.A.,2017,CONEX20175200000099,
viveres 2017,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,48976.55,46919.51,PANIFICADORA BRUSAU S.L.,2017,CONEX20175200000099,
viveres 2017,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,5867.9,4670.9,COMERCIAL PINAMAS S.L.,2017,CONEX20175200000099,
viveres 2017,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,850.85,850.85,SEDOVIN S.L.,2017,CONEX20175200000099,
viveres 2017,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,738.0,671.4,SERVICIO REPOSTERIA ARAGON S.L.,2017,CONEX20175200000099,
viveres 2017,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,24373.64,23054.89,AGUSTIN DOMINGUEZ RODRIGUEZ SL,2017,CONEX20175200000099,
viveres 2017,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,53675.0,49814.25,CONGELADOS ARIZA SL,2017,CONEX20175200000099,
bioquimica,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,1240500.41,1054424.7,"SIEMENS HEALTHCARE, S.L.",2017,CONEX20175200001345,
gasoleo calefaccion,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,3823.66,3823.66,REPSOL COMERCIAL DE PRODUCTOS,2017,CONEX20175200000378,
víveres: frutas y verduras frescas,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,191248.32,187493.95,FRUTAS CALVO S.L.,2017,CONEX20175200000114,
sum. de ropa desechable y cobertura quirúrgica,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,9390.6,9234.0,SUMINISTROS HOSPITALARIOS SA,2017,CONEX20175200000272,
sum. de ropa desechable y cobertura quirúrgica,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,17040.0,16605.5,EL CORTE INGLES S.A.,2017,CONEX20175200000272,
sum. de ropa desechable y cobertura quirúrgica,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,34775.0,34762.0,MOLNLYCKE HEALTH CARE SL,2017,CONEX20175200000272,
sum. de ropa desechable y cobertura quirúrgica,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,40061.1,37185.16,MEDLINE INTERNATIONAL IBERIA S.UNIP,2017,CONEX20175200000272,
suministro de gas natural derivado acuerd.marco scc26/2013,SERVICIO ARAGONÉS DE SALUD,Negociado,Suministros,41322.31,41322.0,GAS NATURAL COMERCIALIZADORA S,2017,CONEX20175200000356,
material necesario p/realiz. tt.aa. hematologia bco sangre,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,136528.94,134562.1,WERFEN ESPAÑA S.A.U.,2017,CONEX20175200000447,
material necesario p/realiz. tt.aa. hematologia bco sangre,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,174621.97,153670.0,DISTRIBUIDORA ANALITICA MEDICINA,2017,CONEX20175200000447,
material necesario p/realiz. tt.aa. hematologia bco sangre,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,169256.19,168300.0,SEBIA HISPANIA S.A.,2017,CONEX20175200000447,
material necesario p/realiz. tt.aa. hematologia bco sangre,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,674524.62,668741.0,BECKMAN COULTER SLU,2017,CONEX20175200000447,
gasoleo calefaccion,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,1000.0,1000.0,REPSOL COMERCIAL DE PRODUCTOS,2017,CONEX20175200000391,
gasoleo calefaccion,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,911.43,911.43,REPSOL COMERCIAL DE PRODUCTOS,2017,CONEX20175200000400,
gasoleo calefaccion,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,660.09,660.09,REPSOL COMERCIAL DE PRODUCTOS,2017,CONEX20175200000401,
stent coronario cromocobalto farmacoactivo,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,82450.0,80750.0,B BRAUN SURGICAL S.A.,2017,CONEX20175200000448,
etiquetas,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,4550.62,3079.52,FRANCISCO SORIA MELGUIZO S.A.,2017,CONEX20175200000458,
etiquetas,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,41148.0,40896.0,ETIDUERO S.L.,2017,CONEX20175200000458,
etiquetas,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,2152.32,624.0,GRAFICAS ZAR SL,2017,CONEX20175200000458,
etiquetas,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,14166.08,11137.38,GRAFICAS Z S.L.,2017,CONEX20175200000458,
reactivos para el servicio de hematologia y banco de sangre,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,32175.78,31237.86,DIAGAST IBERICA S.L. .,2017,CONEX20175200000456,
reactivos para el servicio de hematologia y banco de sangre,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,20136.36,18736.36,CITOGEN S.L.,2017,CONEX20175200000456,
reactivos para el servicio de hematologia y banco de sangre,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,10440.0,10368.0,BECKMAN COULTER SLU,2017,CONEX20175200000456,
fijaciones externas,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,39281.88,35829.46,STRYKER IBERIA SL,2017,CONEX20175200000457,
fijaciones externas,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,23370.22,20702.4,MBA INCORPORADO S.L.,2017,CONEX20175200000457,
servicio de pet-tac,SERVICIO ARAGONÉS DE SALUD,Negociado,Servicios,105000.0,105000.0,IDCQ HOSPITALES Y SANIDAD S.L.U.,2017,CONEX20175200000504,
servicio de mantenimiento integral a todo riesgo de la reson,SERVICIO ARAGONÉS DE SALUD,Negociado,Servicios,41931.0,41931.0,GRAL ELECTRIC HEALTHCARE ESPAÑA S.A,2017,CONEX20175200000552,
servicio de mantenimiento del t.a.c,SERVICIO ARAGONÉS DE SALUD,Negociado,Servicios,58786.0,58786.0,"SIEMENS HEALTHCARE, S.L.",2017,CONEX20175200000554,
servicio de mantenimiento de equipos,SERVICIO ARAGONÉS DE SALUD,Negociado,Servicios,28436.11,27014.31,DRAGER MEDICAL HISPANIA S.A.,2017,CONEX20175200000555,
suministro de detergentes para el hop y crp,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,38812.0,31598.0,SA DE PRODUCTOS DETERGENTES,2017,CONEX20175200000556,
prendas de trabajo iii,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,10763.5,10763.3,ANATOMICOS MADRID S.L.,2017,CONEX20175200000041,
prendas de trabajo ii,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,74334.15,74324.66,CONFECCIONES OROEL S.A.,2017,CONEX20175200000042,
prendas de trabajo i,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,303214.43,303100.49,EL CORTE INGLES S.A.,2017,CONEX20175200000043,
prendas de trabajo iv,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,2255.94,2252.64,INSERCION Y TRABAJO SL,2017,CONEX20175200000044,
lenceria ii,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,9143.3,9134.25,EUGENIO ALES LLAMAS S.A.,2017,CONEX20175200000045,
lenceria iv,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,316318.49,315666.55,ALBAZUL SERVICIOS INTEGRALES S.A.,2017,CONEX20175200000046,
lenceria iii,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,45937.94,45898.75,EUROMA S.A.,2017,CONEX20175200000047,
lenceria i,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,105109.61,104609.15,EL CORTE INGLES S.A.,2017,CONEX20175200000048,
p.c. 1ha/2016 resonancias magnéticas en inst. móviles,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Servicios,579450.0,501860.0,CENTRO DE IDAGNOSTICO GRANADA S.A.,2017,CONEX20175200000050,
servicio de seguridad y vigilancia del hospital de alcañiz,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Servicios,15135.0,15135.0,EULEN SEGURIDAD S.A.,2017,CONEX20175200000051,
convenio consultas traumatologia con maz,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Servicios,45123.97,45123.75,MAZ MUTUA ACCIDENTES TRABAJO Y,2017,CONEX20175200000140,
convenio reduccion lista de espera quirurgica con maz,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Servicios,400000.0,400000.0,MAZ MUTUA ACCIDENTES TRABAJO Y,2017,CONEX20175200000141,
p.c. 3ha/2016 realización de procedimientos neurofisiología,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Servicios,87775.0,76680.0,"NFC Y SUEÑO, SL",2017,CONEX20175200000054,
"suminsitro de reactivos para bioquímica-hematología, coagula",SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,27885.43,27764.45,ABBOTT LABORATORIES S.A.,2017,CONEX20175200000565,
"suminsitro de reactivos para bioquímica-hematología, coagula",SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,131687.1,129211.98,WERFEN ESPAÑA S.A.U.,2017,CONEX20175200000565,
"suminsitro de reactivos para bioquímica-hematología, coagula",SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,586564.47,503991.71,ROCHE DIAGNOSTICS S.L.,2017,CONEX20175200000565,
material consumible para neuronavegador y motor quirurgico.,SERVICIO ARAGONÉS DE SALUD,Negociado,Suministros,37090.45,37090.45,CMM SLU,2017,CONEX20175200000169,
material consumible para aspirador ultrasonico,SERVICIO ARAGONÉS DE SALUD,Negociado,Suministros,52500.1,52500.1,PRIM S.A.,2017,CONEX20175200000171,
protesis de rodilla,SERVICIO ARAGONÉS DE SALUD,Negociado,Suministros,1455632.44,1345207.6,JOHNSON & JOHNSON S.A.,2017,CONEX20175200000116,
protesis de rodilla,SERVICIO ARAGONÉS DE SALUD,Negociado,Suministros,1483700.0,1398600.0,MBA INCORPORADO S.L.,2017,CONEX20175200000116,
protesis de rodilla,SERVICIO ARAGONÉS DE SALUD,Negociado,Suministros,164410.0,151700.0,EXACTECH IBERICA S.L.,2017,CONEX20175200000116,
protesis de rodilla,SERVICIO ARAGONÉS DE SALUD,Negociado,Suministros,4086580.12,3777150.0,"ZIMMER BIOMET SPAIN, S.L.U.",2017,CONEX20175200000116,
material para determinacion ganglio centineal (tecnica osna),SERVICIO ARAGONÉS DE SALUD,Negociado,Suministros,76233.01,76233.01,"SYSMEX ESPAÑA ,S.L.",2017,CONEX20175200000127,
servicio de vigilancia y seguridad hcu,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Servicios,70520.75,70520.52,CIA VIGILANCIA ARAGONESA S.L.,2017,CONEX20175200000131,
crp gasoleo c calefacción,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,41322.31,41322.31,REPSOL COMERCIAL DE PRODUCTOS,2017,CONEX20175200000204,
crp gas calefaccion admon y cafeteria,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,8264.46,8264.46,ENDESA ENERGIA S.A.,2017,CONEX20175200000205,
"crp gas calefacción gral, calef terapia y cocina",SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,66115.7,66115.7,GAS NATURAL COMERCIALIZADORA S,2017,CONEX20175200000206,
reparacion ecoendoscopio radial olympus,SERVICIO ARAGONÉS DE SALUD,Negociado,Servicios,28183.28,28183.28,"OLYMPUS IBERIA, S.A.U.",2017,CONEX20175200000214,
crp saneamiento ecociudad 2017,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Servicios,63636.36,63636.36,ECOCIUDAD ZARAGOZA S.A.U.,2017,CONEX20175200000202,
crp agua y basuras ayuntamiento 2017,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Servicios,81818.18,81818.18,AYUNTAMIENTO DE ZARAGOZA,2017,CONEX20175200000203,
suministro de prótesis de rodilla,SERVICIO ARAGONÉS DE SALUD,Negociado,Suministros,166470.92,166470.92,MBA INCORPORADO S.L.,2017,CONEX20175200000252,
suministro de prótesis de rodilla,SERVICIO ARAGONÉS DE SALUD,Negociado,Suministros,325096.86,325096.86,"ZIMMER BIOMET SPAIN, S.L.U.",2017,CONEX20175200000252,
"hostelería/cocina - congelados, leche y lácteos",SERVICIO ARAGONÉS DE SALUD,Negociado,Suministros,49968.94,49441.15,COLONIALES BARBED S.A.,2017,CONEX20175200000264,
"hostelería/cocina - congelados, leche y lácteos",SERVICIO ARAGONÉS DE SALUD,Negociado,Suministros,11823.56,11110.0,DISTRIBUCIONES RODRIGO S.A.,2017,CONEX20175200000264,
"hostelería/cocina - congelados, leche y lácteos",SERVICIO ARAGONÉS DE SALUD,Negociado,Suministros,781.25,755.0,AGUSTIN DOMINGUEZ RODRIGUEZ SL,2017,CONEX20175200000264,
"hostelería/cocina - congelados, leche y lácteos",SERVICIO ARAGONÉS DE SALUD,Negociado,Suministros,236.73,223.2,CONGELADOS ARIZA SL,2017,CONEX20175200000264,
suministro de productos para tratamiento de agua,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,27073.36,26341.0,NILSSON LABORATORIOS S.L.,2017,CONEX20175200000265,
suministro de implantes para o.r.l.,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,736049.45,735577.7,GABINETE DE AUDIOPROTESIS,2017,CONEX20175200000280,
suministro de implantes para o.r.l.,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,1045.0,975.0,SUMINISTROS HOSPITALARIOS SA,2017,CONEX20175200000280,
suministro de implantes para o.r.l.,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,806.4,806.4,PRIM S.A.,2017,CONEX20175200000280,
suministro de implantes para o.r.l.,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,1349.1,1272.0,BESTMEDIC SL,2017,CONEX20175200000280,
suministro de implantes para o.r.l.,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,199272.73,199272.7,MED EL ELEKTROMEDIZINISCHE GERATE,2017,CONEX20175200000280,
mntenimiento de los equipos informáticos,SERVICIO ARAGONÉS DE SALUD,Negociado,Servicios,29000.0,27800.0,EUROMAT SYSTEM SL,2017,CONEX20175200001341,
suministro de mater. para realiz. de ttaa. de hematimetría.,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,104440.0,77380.0,ROCHE DIAGNOSTICS S.L.,2017,CONEX20175200001342,
medicamentos (acuerdo marco ingesa),SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,62040.0,62040.0,B BRAUN MEDICAL S.A.,2017,CONEX20175200000335,
medicamentos (acuerdo marco ingesa),SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,14702.24,14702.24,SANDOZ FARMACEUTICA S.A.,2017,CONEX20175200000335,
medicamentos (acuerdo marco ingesa),SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,7275.0,7254.0,"AUROVITAS SPAIN, S. A. U.",2017,CONEX20175200000335,
medicamentos (acuerdo marco ingesa),SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,21386.88,21386.88,ACCORD HEALTHCARE SLU,2017,CONEX20175200000335,
mantenimiento tomógrafo multicorte computerizado sector btro,SERVICIO ARAGONÉS DE SALUD,Negociado,Servicios,40495.04,40495.0,PHILIPS IBERICA SAE,2017,CONEX20175200000358,
prórroga suministro energia eléctrica sector de zaragoza i,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,2504132.23,2504132.23,ENDESA ENERGIA S.A.,2017,CONEX20175200000445,
mat.determinac. cribado prenatal combinado mediante tt.aa.aa,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,46310.0,46310.0,PERKINELMER ESPAÑA SL,2017,CONEX20175200000451,
material necesario p/tratamiento braquiterapia baja dosis,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,224000.0,223200.0,"ELEKTA MEDICAL, S.A.",2017,CONEX20175200000452,
test detec. estreptococo p/c.salud y urgencias sector i y ii,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,28840.0,15400.0,APLICACIONES ELECTRONICAS EUROPA S.,2017,CONEX20175200000453,
mantenimiento gestion centralizada instalaciones hsj y crp,SERVICIO ARAGONÉS DE SALUD,Negociado,Servicios,22175.77,22175.75,"HONEYWELL, S.L.",2017,CONEX20175200000561,
"pruebas diagnosticas densitometrias, sectores hu y barbastro",SERVICIO ARAGONÉS DE SALUD,Negociado,Gestión Servicios públicos,12800.0,12400.0,POLICLINICA ALTO ARAGON S.L.,2017,CONEX20175200000562,
"pruebas diagnosticas densitometrias, sectores hu y barbastro",SERVICIO ARAGONÉS DE SALUD,Negociado,Gestión Servicios públicos,17600.0,17050.0,"CENTRO MEDICO SEAP, SL",2017,CONEX20175200000562,
suministro dos sillas operativas,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,268.0,268.0,BALLAROL OFICINAS S.L.L.,2017,CONEX20175200000563,
"feria del libro antiguo de zaragoza. alquiler, montaje, mantenimiento caset","EDUCACIÓN, CULTURA Y DEPORTE",Adjudicación directa,Servicios,3305.79,3305.79,SONOMOBEL S.L.,2017,CONEX20171800000217,
conmy 07/2016: plataforma big data servicios smart open region,"INNOVACIÓN, INVESTIGACIÓN Y UNIVERSIDAD",Negociado,Servicios,498357.66,254556.01,IA SOFT ARAGON SL,2017,CONMY20171700000028,
obras de la c.p. de san mateo de gallego z150012,DESARROLLO RURAL Y SOSTENIBILIDAD,Abierto,Obras,1483342.42,924201.89,SUMELZO S.A.,2017,CONMY20171400000188,
2017-2018 carnes fitosanitarios,DESARROLLO RURAL Y SOSTENIBILIDAD,Abierto,Suministros,24859.5,8000.0,GRAMA FORMULARIOS S.A.,2017,CONMY20171400000440,
2017-fitosanitarios aereos y terrestres,DESARROLLO RURAL Y SOSTENIBILIDAD,Abierto,Suministros,121084.2,121084.2,KENOGARD S.A.,2017,CONMY20171400000450,
2017-fitosanitarios terrestres contra langosta,DESARROLLO RURAL Y SOSTENIBILIDAD,Abierto,Suministros,90086.4,89964.0,GARCIA LES SL,2017,CONMY20171400000451,
2017-tratamientos terrestres contra langosta,DESARROLLO RURAL Y SOSTENIBILIDAD,Abierto,Servicios,53671.2,47080.0,FITOARAGON SL,2017,CONMY20171400000453,
