Ambit subjectiu,Organ de contractacio,Codi de expedient,id,Objecte del contracte,Descripcio de la prestacio,Tipus de contracte,Pressupost de licitacio,Data de publicacio,Empresa adjudicataria,Import de adjudicacio,Enllace a la publicacio,Codi CPV,Data de adjudicacio
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Mar Parc de Salut de Barcelona,310/2020,0132,Transport de mobiliari des de l'Hospital del Mar al Centre Fòrum,Publicació massiva de contractes tramitats per emergència de serveis relacionats amb les mesures adoptades per fer front a la situació de crisi sanitària ocasionada per la COVID-19 del Consorci Mar Parc de Salut de Barcelona (correspon al mes de juny).,Serveis,0,2020-07-13T00:00:00Z,"ARA VINC, S.L.",203.72,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65733542&lawType=3,44211300,2020-07-10T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Departament d'Interior,IT-2020-495,0133,"Servei de neteja de comissaries de les regions policials Metropolitana Barcelona, Metropolitana Nord i Central (increment d'hores de neteja i reforç de freqüències i intensitat) en el marc de l'estratègia de resposta a l'epidèmia del SARS-CoV-2.","Servei de neteja de comissaries de les regions policials Metropolitana Barcelona, Metropolitana Nord i Central (increment d'hores de neteja i reforç de freqüències i intensitat) en el marc de l'estratègia de resposta a l'epidèmia del SARS-CoV-2.",Serveis,46136.22,2020-05-21T00:00:00Z,"OHL SERVICIOS - INGESAN, S.A.",46136.22,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62569148&lawType=3,90910000,2020-05-05T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut d'Assistència Sanitària (IAS),CONTR/2020/0000000021,0134,ATROVENT MONODOSIS 500 MCG/2 ML SOL NEBUNOLOTIL 2 G/5 ML (5 AMP),Subministrament de productes farmacèutics del mes de març 2020 per atendre la urgència de la COVID_19 (Servei de Farmacia) de l'IAS,Subministraments,225117.51,2020-05-15T00:00:00Z,BOEHRINGER INGELHEIM ESPAÑA SA,1889.81,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62152874&lawType=3,33600000,2020-04-30T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Sanitari Integral,214,0135,subministrament de taula danestèsia i material respiratori,Publicació massiva de contractes tramitats d'emergència 2020,Subministraments,0,2020-07-07T00:00:00Z,TEMEL S.A.U.,59423.2,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65297999&lawType=3,33140000,2020-07-07T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospitalari de Vic,CHV CE 103/20,0136,"ESCOPOLAMINA 0,5 MG amp",Publicació massiva de contractes tramitats d'emergència .,Subministraments,0,2020-07-14T00:00:00Z,"B.BRAUN MEDICAL,S.A.",7471.36,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65442888&lawType=3,33000000,2020-03-13T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1083,0137,"Catèters, sondes i altre material fungible sanitari","Subministrament de catèters, sondes i altre material fungible sanitari - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIA",Subministraments,0,2020-07-01T00:00:00Z,ICU MEDICAL PRODUCTOS FARM. Y,1545.1,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65024146&lawType=3,33141200,2020-04-29T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Servei Català de la Salut (CatSalut),5.1-Allotjament de pacients,0138,Allotjament a pacients de la Residència Tercera Edat Sant Jaume de Cardona en les instal.lacions de l'Hotel Vilar Rural de Cardona,"Publicació massiva de contractes tramitats per emergència, dels serveis d'allotjament de pacients  en el marc de l'estratègia de resposta a l'epidèmia del SARS-CoV-2.",Serveis,0,2020-05-20T00:00:00Z,"SAKISTES, S.L.",8708,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62074006&lawType=3,98341000,2020-05-20T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Departament d'Interior,IT-2020-471,0139,Servei de neteja interior i desinfecció dels vehicles del Cos deMossos d'Esquadra adscrits al Serveis Administratius de lesUnitats Centrals (SAUC) en el marc de l'estratègia deresposta a l'epidèmia del SARS-CoV-2.,Servei de neteja interior i desinfecció dels vehicles del Cos deMossos d'Esquadra adscrits al Serveis Administratius de lesUnitats Centrals (SAUC) en el marc de l'estratègia deresposta a l'epidèmia del SARS-CoV-2.,Serveis,1981,2020-05-18T00:00:00Z,IVAN CARLES DO ROSARIO VILLA,1981,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62540804&lawType=3,50110000,2020-05-07T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1082,0140,"Material de Cobertura, Pijames i Protecció","Subministrament de material de cobertura, pijames i protecció - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIA",Subministraments,0,2020-07-01T00:00:00Z,"TGH ENDOSCOPIA, S.L.",288.4,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65022860&lawType=3,39518000,2020-04-29T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Departament d'Interior,IT-2020-466,0141,Servei extraordinari de neteja i sanejament dels edificis de la Regió d'Emergències de les Terres de l'Ebre durant el mes d'abrilde 2020 en el marc de l'estratègia deresposta a l'epidèmia del SARS-CoV-2.,Servei extraordinari de neteja i sanejament dels edificis de la Regió d'Emergències de les Terres de l'Ebre durant el mes d'abrilde 2020 en el marc de l'estratègia deresposta a l'epidèmia del SARS-CoV-2.,Serveis,6133.43,2020-05-15T00:00:00Z,"SACYR FACILITIES, S.A.",6133.43,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62481139&lawType=3,90911200,2020-04-28T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Departament de Justícia,JU-2020-400,0142,COVID-19 Desinfecció extraordinària CP Quatre camins,Publicació massiva contractes tramitats d'emergencia a 26.05.2020,Serveis,0,2020-05-26T00:00:00Z,SERVEIS ANTIPLAGUES HIGIENE I CONTROL AMBIENTAL SA,1639.38,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62981293&lawType=3,90000000,2020-04-30T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de Catalunya,CTTI-2020-79,0143,Subministrament d'accessoris per emissores Tetra de diferents flotes de la Xarxa RESCAT,"Subministrament de 410 emissores mòbils, 251 carregadors per a terminal portàtil, 4.000 crancs, 4.000 bateries per a terminal portàtil, 1.000 fundes per a terminal portàtil, 1.000 micro-extensibles per a terminal portàtil i 50 Auriculars walkman kit per a terminal portàtil.",Subministraments,786323.49,2020-05-12T00:00:00Z,"ZENON DIGITAL RADIO, S.L.U.",786323.49,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62331325&lawType=3,32000000,2020-05-11T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),1101195105,0144,Protecció paviment hotel-1,"Contractació dels treballs de condicionament i la compra d'equipament corresponent a un àrea d'hospitalització de 111 llits de pacients convencionals a l'Hotel Salut Rafael Hoteles de Badalona, destinats a l'Hospital Universitari Germans Trias i Pujol",Subministraments,132255.95,2020-06-09T00:00:00Z,CONSTRUCCIONS ARIDS I FORMIGONS SA,14833.5,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64004573&lawType=3,33192000,2020-03-23T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Sanitari de l'Anoia,CE_CSA_2020 Videoconferencia,0145,"Subministrament 5 monitors amb equip per a videoconferència integrat (webcam, altaveus i micròfon)","Subministrament 5 monitors amb equip per a videoconferència integrat (webcam, altaveus i micròfon)",Subministraments,895,2020-05-19T00:00:00Z,servicios Microoinformática SL,895,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62666886&lawType=3,32232000,2020-05-04T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospitalari de Vic,CHV CE 47/20,0146,NE-HIPERGLICÈMIA 500ML (GLUCERNA 1.2)(H),Publicació massiva de contractes tramitats d'emergència .,Subministraments,0,2020-07-14T00:00:00Z,"ABBOTT LABORATORIES,S.A.",10654.83,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65442888&lawType=3,33000000,2020-03-13T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1048,0147,Material de cures i apòsits,Subministrament de material de cures i apòsits - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIA,Subministraments,0,2020-06-09T00:00:00Z,TEXTIL PLANAS OLIVERAS SA,385.99,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63999846&lawType=3,33141110,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),1101197131,0148,Termoòmetres infrarrojos,"Subministrament d'aparells mèdics, materials per a equipament mèdic, mobiliari clínic i general i obres de condicionament per tal facilitar el tractament adequat de pacients afectats per SARS¿CoV¿2 de l'Hospital Universitari Germans Trias i Pujol",Subministraments,364225.45,2020-06-12T00:00:00Z,"ACUÑA Y FOMBONA,S.A.",1725,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64015443&lawType=3,33190000,2020-03-20T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),CS/AP54/1101198137/20/CMUI,0149,"Subministrament de 1000 bates, necessari per a l'epidèmia del SARS-CoV-2 pel centre d¿Atenció Primària de Girona.","Subministrament de 1000 bates, necessari per a l'epidèmia del SARS-CoV-2 pel centre d¿Atenció Primària de Girona.",Subministraments,10600,2020-05-05T00:00:00Z,SISMIC ACTIVE WEAR SL,10600,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=61891108&lawType=3,18318200,2020-04-22T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Departament de Justícia,JU-2020-336,0150,COVID-19 Televisors (3 per sales de dia),Publicació massiva contractes tramitats d'emegencia a 22.05.2020,Serveis,0,2020-05-22T00:00:00Z,GABINETE TECN.TELECOMUNICAC.S.L.,1950,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62880398&lawType=3,32200000-5,2020-04-30T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Corporació Sanitària Parc Taulí de Sabadell,20COVID23,0151,Subministrament d' equipament sanitari - 20COVID23,Ecógraf UCI i monitors multiparamétrics,Subministraments,280460,2020-06-05T00:00:00Z,PHILIPS IBERICA SAU,280460,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewDcan&idDoc=63629814&lawType=3,33195100,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Sanitari de Terrassa,COVID-19 (6),0152,Mascareta de protecció FFP2,Contractes d¿emergència 6,Subministraments,0,2020-06-23T00:00:00Z,BASTOS MEDICAL SL,4536,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64628576&lawType=3,33000000,2020-06-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),1101195520,0153,Portabombes,"Equipament general: aparells mèdics, materials i accessoris d'aparells, mobiliari clínic i general i obres de condicionament per habilitar 60 llits crítics per al tractament estable de pacients amb Covid per l'Hospital Universitari Germans Trias i Pujol",Subministraments,291638.39,2020-06-12T00:00:00Z,NEDELLA MEDICAL S.L.,22001,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64019695&lawType=3,33192000,2020-05-04T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),010C-2020-CEM,0154,Servei cuina empleats abril,Servei de cuina per les plantes Covid de l'Inst.Guttmann per l'Hospital Universitari Germans Trias i Pujol,Serveis,47872.84,2020-06-25T00:00:00Z,SODEXHO S.A.,6820.57,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64678254&lawType=3,55100000,2020-04-05T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Ferrocarrils de la Generalitat de Catalunya,CONTR/2020/269,0155,"Obres d'actuació d'emergència relacionades ambl'expedient d'emergència (EMERG/2020/3) per estabilització del talús 43e a Piera de lalínia Llobregat ¿ Anoia dels Ferrocarrils de la Generalitat de Catalunya segonsl'emergència ""Obres d'actuació d'emergència a dur a terme a conseqüència decaigudes d'arbres a la línia Barcelona-Vallès, d'inundació a la subestació de Monistrolde Montserrat i de despreniments als talussos dels PK 41+450, 41+600, 42+300 I50+200 del ramal Manresa i del PK 16+690 del ramal Igualada de la línia Llobregat-Anoia, arran de l'episodi d'aiguats"". CONTR/2020/269 PEM04/20","Obres d'actuació d'emergència relacionades amb l'expedient d'emergència (EMERG/2020/3) per estabilització del talús 43e a Piera de la línia Llobregat ¿ Anoia dels Ferrocarrils de la Generalitat de Catalunya segons l'emergència ""Obres d'actuació d'emergència a dur a terme a conseqüència de caigudes d'arbres a la línia Barcelona-Vallès, d'inundació a la subestació de Monistrol de Montserrat i de despreniments als talussos dels PK 41+450, 41+600, 42+300 I 50+200 del ramal Manresa i del PK 16+690 del ramal Igualada de la línia Llobregat- Anoia, arran de l'episodi d'aiguats"".",Obres,51230.6,2020-05-23T00:00:00Z,"TRATAMIENTO, ACONDICIONAMIENTO DE LADERASY OBRAS, S.A.",51230.6,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62924449&lawType=3,45111230,2020-05-20T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),1101202732,0156,Mampares,"Contractació d'aparells mèdics, de laboratori, equipament informàtic, equipament de teleassistència a domicili, materials per a equipament mèdic, mobiliari general i obres de condicionament general d'espais comuns de l'Hospital Universitari Germans Trias i Pujol",Obres,196017.22,2020-06-12T00:00:00Z,EXHIBITION STAND DESIGN DECOR SL,7707,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64029684&lawType=3,45215100,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut d'Assistència Sanitària (IAS),CONTR/2020/0000000020,0157,"EQUIP B/ DOLOR LEGASY 100ML 217002-24XERINGA DE GASOMETRIAPORTATUB + ADAPTADOR L/L C/100PALOMETA INFUSIO SAF-T 21G X3/4"" NDLADAPTADOR HEMOCULTIU REF 96004ADAPTADOR HEMOCULTIU REF 96005PALA LARINGO U/S Nº 4Z CANULA INTERNA PER CANULA TRAQUEOTOMIAXERINGA GASOMETRIA SENSE AGULLAZ TUB ENDO A/ASPIRACIO SUBGLOTICA 8.0Z TUB ENDO A/ASPIRACIO SUBGLOTICA 8.5Z SISTEMA ASPIRACIO TANCADA 14FR",Subministrament de material sanitari corresponent al mes de març 2020 per atendre la urgència de la COVID_19 (Serveis Logístics) de L'IAS,Subministraments,226476.57,2020-05-15T00:00:00Z,SMITHS MEDICAL ESPAÑA SRL,3133.47,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62152530&lawType=3,33140000,2020-04-30T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Departament de Salut,SA-2020-466,0158,Subministrament de mascaretes de protecció FFP2 per als integrants dels serveis de Salut Pública de la Secretaria de Salut Pública pel 2020,Subministrament de mascaretes de protecció FFP2 per als integrants dels serveis de Salut Pública de la Secretaria de Salut Pública pel 2020,Subministraments,21000,2020-05-26T00:00:00Z,Socialgrup (Ana Maria GarcíaGonzález),21000,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63061196&lawType=3,18143000,2020-04-27T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1026,0159,Reactius,Subministrament de reactius - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIA,Subministraments,0,2020-06-09T00:00:00Z,"BIOMERIEUX, S.A.",9461.61,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63999417&lawType=3,33696000,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Ferrocarrils de la Generalitat de Catalunya,CONTE/2020/000000025,0160,Subministraments i de serveis d'equips de protecció individual en l'estratègia de resposta a l'epidèmia del SARS-CoV-2 (PEMC16/20),Subministraments i de serveis d'equips de protecció individual en l'estratègia de resposta a l'epidèmia del SARS-CoV-2,Subministraments,700000,2020-06-16T00:00:00Z,"DERMO, SA",594,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64237583&lawType=3,18143000,2020-06-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Servei Català de la Salut (CatSalut),SCS-2020-344,0161,SCS-2020-344: subministrament de 21 purificadors d'aire per a les oficines de les Regions Sanitàries del CatSalut.,Subministrament de 21 purificadors d'aire per a les oficines de les Regions Sanitàries del CatSalut,Subministraments,14994,2020-06-18T00:00:00Z,"Camfil Clean Air Solutions, SA",14994,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64347395&lawType=3,45300000,2020-05-26T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Sanitari Integral,9,0162,"gorros quirúrgics i amb goma, Aquapak amb adaptador, mascaretes doxigen dalta concentració i filtres antibacterians virals",Publicació massiva de contractes tramitats d'emergència 2020,Subministraments,0,2020-07-07T00:00:00Z,COMERCIAL MEDICA REMEX S.L.,1168.6,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65297999&lawType=3,33140000,2020-07-07T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1049,0163,"Material de Cobertura, Pijames i Protecció","Subministrament de material de cobertura, pijames i protecció - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIA",Subministraments,0,2020-06-09T00:00:00Z,GRUPO DISTRIBUIDOR GARAU SL,15582.03,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64001361&lawType=3,39518000,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),1101197536,0164,Taules i cadires,"Equipament general: aparells mèdics, materials i accessoris d'aparells, mobiliari clínic i general i obres de condicionament per habilitar 60 llits crítics per al tractament estable de pacients amb Covid per l'Hospital Universitari Germans Trias i Pujol",Subministraments,291638.39,2020-06-12T00:00:00Z,"COMERCIAL INDUSTRIAS REUNIDAS,S.A.",2490.26,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64019695&lawType=3,33192000,2020-05-04T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),010C-2020-CEM,0165,Servei cuina març,Servei de cuina per les plantes Covid de l'Inst.Guttmann per l'Hospital Universitari Germans Trias i Pujol,Serveis,47872.84,2020-06-25T00:00:00Z,SODEXHO S.A.,6082.71,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64678254&lawType=3,55100000,2020-04-05T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),1101195839,0166,Jardineria,"Contractació d'aparells mèdics, de laboratori, equipament informàtic, equipament de teleassistència a domicili, materials per a equipament mèdic, mobiliari general i obres de condicionament general d'espais comuns de l'Hospital Universitari Germans Trias i Pujol",Obres,196017.22,2020-06-12T00:00:00Z,"TALHER,S.A.",136.52,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64029684&lawType=3,45215100,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1047,0167,Mat.Carpintería,"Subministrament de material de ferreteria, neteja, rober, comestibles i altres materials no sanitaris - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIES",Subministraments,0,2020-06-09T00:00:00Z,"AUBERT, S.A.",1012.81,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64002747&lawType=3,44316000,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),CS/CC00/1101196084/20/CMUI,0168,CONTRACTACIÓ EMERGÈNCIA SUBMINISTRAMENT RESPIRADORS,Contractació emergència subministrament respiradors,Subministraments,13650000,2020-07-03T00:00:00Z,FORTUNE ACCESS LTD,13650000,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65169696&lawType=3,33100000,2020-04-01T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,"Departament de Treball, Afers Socials i Famílies",E-70-2020,0169,"Contracte d'emergència per a la prestació del servei d'operador logístic per a l'emmagatzematge en trànsit del material sanitari de prevenció per a dotar d'equips de protecció individual els/les professionals i usuaris/usuàries del Departament de Treball, Afers Socials i Famílies. (E-70-2020)","Contracte d'emergència per a la prestació del servei d'operador logístic per a l'emmagatzematge en trànsit del material sanitari de prevenció per a dotar d'equips de protecció individual els/les professionals i usuaris/usuàries del Departament de Treball, Afers Socials i Famílies.",Serveis,11850,2020-05-26T00:00:00Z,"Transportes Nicaragua, S.A",11850,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63038692&lawType=3,60112000,2020-05-03T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),CS/CC00/1101195703/20/CMUI,0170,CONTRACTACIÓ EMERGÈNCIA SUBMINISTRAMENT MONITORS,Contractació emergència subministrament monitors,Subministraments,265380,2020-05-21T00:00:00Z,SONMEDICA SL,265380,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62650853&lawType=3,33100000,2020-03-30T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Sanitari Integral,192,0171,"tubo endot.intermedio n.6, tubo endot.intermedio n.8,5, canula fenestrada  a/b  8 shilley i circuit aspiracio mdi 16ch",Publicació massiva de contractes tramitats d'emergència 2020,Subministraments,0,2020-07-07T00:00:00Z,MEDTRONIC IBERIA S.A.,470.92,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65297999&lawType=3,33140000,2020-07-07T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de Catalunya,CTTI-2020-78,0172,Subministrament de material de desinfecció per al CTTI.,"Subministrament de material de desinfecció i/o prevenció del contagi del COVID-19, en les dependències ubicades en el Centre de Telecomunicacions i Tecnologies de la Informació (CTTI), com pot ser gel desinfectant, guants, aerosols o altres possibles productes.",Subministraments,9619.5,2020-04-23T00:00:00Z,Diset Control de Plagas S.L.,9619.5,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=61583652&lawType=3,39330000,2020-04-22T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Gestió de Serveis Sanitaris (GSS),GSSV-SU-V-20-0272,0173,"Subministrament i posada en marxa d'un Escàner RX digital per al Servei de Radiodiagnòstic del Centre d'Atenció Primaria de Tàrrega, gestionat per l'empresa pública Gestió de Serveis Sanitaris","Subministrament i posada en marxa d'un Escàner RX digital per al Servei de Radiodiagnòstic del Centre d'Atenció Primaria de Tàrrega, gestionat per l'empresa pública Gestió de Serveis Sanitaris",Subministraments,201000,2020-05-22T00:00:00Z,PHILIPS IBERICA SAU,201000,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62872479&lawType=3,33100000,2020-05-21T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Servei Català de la Salut (CatSalut),5100-2020-N1234,0174,Subministrament de llits dhospitalització.,"Publicació massiva de contractes tramitats per emergència, de subministrament d'equipament mèdic  en el marc de l'estratègia de resposta a l'epidèmia del SARS-CoV-2.",Subministraments,0,2020-06-18T00:00:00Z,"LINET IBERIA, S.L.",1150520,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64300560&lawType=3,33000000,2020-06-18T00:00:00Z
