Àmbit subjectiu,Òrgan de contractació,Codi d'expedient,id,Objecte del contracte,Descripció de la prestació,Tipus de contracte,Pressupost de licitació (sense IVA),Data de publicació,Empresa adjudicatària,Import d'adjudicació (sense IVA),Enllaç a la publicació,Codi CPV,Data d'adjudicació
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Sanitari de l'Anoia,CE_CSA_2020 Bates II,1467,Subministrament de bates de protecció per a personal mèdic i pacients II,Subministrament de bates de protecció per a personal mèdic i pacients II,Subministraments,11700,2020-05-28T00:00:00Z,SUMINISTROS HOSPITALARIOS,11700,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63207638&lawType=3,18318200,2020-04-14T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1082,1468,"Material de Cobertura, Pijames i Protecció","Subministrament de material de cobertura, pijames i protecció - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIA",Subministraments,0,2020-07-01T00:00:00Z,PROTEC SOLANA S.L.,10382.4,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65022860&lawType=3,39518000,2020-04-29T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020-1104,1469,"Subministrament de Catèters, sondes i altre material fungible sanitari",Subministrament de material fungible sanitari - Publicació MASSIVA contractes tramitats d'EMERGÈNCIA,Subministraments,0,2020-07-23T00:00:00Z,SMITHS MEDICAL ESPAÑA SRL,844.6,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=66328502&lawType=3,33140000,2020-05-25T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020-1102,1470,CONVERSOR 4K 6G SDI A HDMI 4K UCI RESPIRATÒRIA,2020-1102 - Subministrament d'equipament i mobiliari sanitari - Publicació MASSIVA contractes tramitats d'EMERGÈNCIA,Subministraments,0,2020-07-23T00:00:00Z,PROVITEC INSTALACIONES Y SISTEMAS,358,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=66328694&lawType=3,33192000,2020-05-26T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut d'Assistència Sanitària (IAS),SONDA FOLEY SILIC 20 170605  20,1471,Publicació massiva de contractes tramitats d'emergència,"Publicació massiva de contractes tramitats d'emergència per part de Serveis Logistics de l'IAS, per atendre la pandèmia Covid_19 corresponent al mes de Maig 2020",Subministraments,139225.25,2020-06-30T00:00:00Z,TELEFLEX MEDICAL SA,15.8,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64945050&lawType=3,33140000,2020-06-25T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1049,1472,2020-1049 Subministrament de material de climatització per motiu del context general per la pandèmia del virus SARS-CoV-2,Subministrament de material de climatització per motiu del context general per la pandèmia del virus SARS-CoV-2,Subministraments,21440.67,2020-06-09T00:00:00Z,"SURIS, S.L.",21440.67,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63826383&lawType=3,31680000,2020-04-01T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Sanitari Integral,112,1473,"GORRO BOINA AMB GOMA, POLAINES CURTES T.S.T., BOSSA AUTOTANCAMENT 230X320MM TRANSP. I BOSSA AUTOCIERRE 30X40 TRANS. AUTOCIER",Publicació massiva de contractes tramitats d'emergència 2020,Subministraments,0,2020-07-07T00:00:00Z,"CELULOSAS VASCAS, S.L.",362,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65297999&lawType=3,33140000,2020-07-07T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Sistema d'Emergències Mèdiques SA (SEMSA),CE142/2020,1474,COMPRA EMERGÈNCIA 142: Servei de consultoria en operacions i cadena de subministrament,Servei de consultoria en operacions i cadena de subministrament,Serveis,17155,2020-06-10T00:00:00Z,Oriol lorente,17155,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63372985&lawType=3,72224000,2020-05-29T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Sanitari Integral,66,1475,"vàlvules peep 20 reutilitzable 20:30mm, resucitadors 1500ml. ambu mark iv broncoscopi flexible regular i monitors broncoscopi flexible a i scopes bronco sampler",Publicació massiva de contractes tramitats d'emergència 2020,Subministraments,0,2020-07-07T00:00:00Z,FIRMA AMBU S.L.,3950,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65297999&lawType=3,33140000,2020-07-07T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Servei Català de la Salut (CatSalut),4.1-Allotjament de professionals,1476,Allotjament de professionals sanitaris en les instal.lacions de l'Hotel Les Torres,"Publicació massiva de contractes tramitats per emergència, dels serveis d'allotjament de professionals  en el marc de l'estratègia de resposta a l'epidèmia del SARS-CoV-2.",Serveis,0,2020-05-20T00:00:00Z,"DACAR HOTEL, S.L.",37555.72,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62073594&lawType=3,55110000,2020-05-20T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Departament de Salut,SA-2020-426,1477,Servei d'inserció de publicitat institucional de la campanya urgent CORONAVIRUS SALUT al mitjà imprès,Servei d'inserció de publicitat institucional de la campanya urgent CORONAVIRUS SALUT al mitjà imprès,Serveis,661157,2020-05-08T00:00:00Z,"CARAT ESPAÑA, SAU",661157,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62145684&lawType=3,79341400,2020-04-07T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut d'Assistència Sanitària (IAS),CONTR/2020/000000051,1478,Z EQUIP INFUSIO PRISMAFLEX M150,Subministrament de material sanitari variat pel servei de logística de l'IAS per atendre l'emergència COVID_19 JUNY 2020,Subministraments,273836.15,2020-07-24T00:00:00Z,"BAXTER, S.L.",1570.08,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=66396488&lawType=3,33952000,2020-07-24T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Departament d'Interior,IT-2020-636,1479,"Subministrament de 450 guants de nitril, t. XL, per a la Direcció General de Prevenció, Extinció d'Incendis i Salvaments","Subministrament de 450 guants de nitril, t. XL, per a la Direcció General de Prevenció, Extinció d'Incendis i Salvaments",Subministraments,8227.8,2020-07-01T00:00:00Z,"AQUASOS SERVEIS INTEGRALS, S.L.",8227.8,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64999274&lawType=3,33140000,2020-05-29T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Servei Català de la Salut (CatSalut),3.1-Comunicació,1480,Campanya informativa de Coronavirus en la gestió de la crisi per l'emergència de la Covid-19,"Publicació massiva de contractes tramitats per emergència, de serveis en matèria de comunicació  en el marc de l'estratègia de resposta a l'epidèmia del SARS-CoV-2.",Serveis,0,2020-05-20T00:00:00Z,"CONCEPCIO MINGUELLA PLANAS EVENTS, S.L.",13100,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62071881&lawType=3,64200000,2020-05-20T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Fundació de Gestió Sanitària de l'Hospital de la Santa Creu i Sant Pau,COVID-19/MS COMANDES ESPECIALS,1481,FUNDA COIXI BLANC 75X40 A / CREMALLERA,"Subministrament de material sanitari relatiu a comandes especials, necessari per fer front a la pandèmia del COVID-19",Subministraments,0,2020-06-12T00:00:00Z,"BARNA IMPORT MEDICA, S.A.",124,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64025844&lawType=3,33100000,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Fundació de Gestió Sanitària de l'Hospital de la Santa Creu i Sant Pau,COVID-19/FARMÀCIA,1482,AZITROMICINA 500 MG IV VIA 10 ML,"Subministrament de productes de farmàcia, necessari per fer front a la pandèmia del COVID-19",Subministraments,0,2020-06-12T00:00:00Z,PFIZER SLU,19463.35,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64033607&lawType=3,33600000,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut d'Assistència Sanitària (IAS),Z TUB ENDO A/ASPIRACIO SUBGLOTICA 8.0,1483,Publicació massiva de contractes tramitats d'emergència,"Publicació massiva de contractes tramitats d'emergència per part de Serveis Logistics de l'IAS, per atendre la pandèmia Covid_19 corresponent al mes de Maig 2020",Subministraments,139225.25,2020-06-30T00:00:00Z,SMITHS MEDICAL ESPAÑA SRL,160.36,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64945050&lawType=3,33140000,2020-06-25T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut d'Investigació Biomèdica de Girona (IDIBGI),202021,1484,Canvi sistema accés a l'edifici (targeta enlloc de sistema biomètric),Subministrament de material fungible i inventariable per situació d'emergència derivada de la COVID_19 per a l'IDIBGI.,Subministraments,137353.69,2020-06-19T00:00:00Z,Meibit Tech Solutions SL,2098.5,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64599454&lawType=3,33140000,2020-06-18T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Departament d'Interior,IT-2020-563,1485,Servei de laboratori clínic i gestió de resultats de 47 kits (inicialment previstes 218) relatius a la determinació molecular per detectar la presència de COVID-19 (proves PCR) al col·lectiu del Cos de Bombers,Servei de laboratori clínic i gestió de resultats de 47 kits (inicialment previstes 218) relatius a la determinació molecular per detectar la presència de COVID-19 (proves PCR) al col·lectiu del Cos de Bombers,Serveis,4230,2020-06-11T00:00:00Z,"SYNLAB DIAGNÓSTICOS GLOBALES, SAU",4230,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63797696&lawType=3,85148000,2020-06-02T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),1101195231,1486,MOBIL.GUTTMANN,"Contractació dels treballs de condicionament i la compra d'equipament corresponent a un àrea d'hospitalització de 70 llits de pacients convencionals ubicats al gimnàs de l'Institut Guttmann, destinats a l'Hospital UniversitariGermans Trias i Pujol.",Subministraments,133372.24,2020-06-09T00:00:00Z,"PALEX MEDICAL,S.A.",16432.56,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64004847&lawType=3,33192000,2020-03-26T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Sanitari del Maresme,CSdM 38/20C,1487,Mascareta FFP3 pico pato a/vàlvula,Publicació massiva de contractes tramitats d'emergència .,Subministraments,0,2020-06-02T00:00:00Z,Iturri SA,29700,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63400821&lawType=3,33140000,2020-06-02T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospitalari de Vic,CHV CE 56/20,1488,BUDESONIDA 200 MCG/INH inh,Publicació massiva de contractes tramitats d'emergència .,Subministraments,0,2020-07-14T00:00:00Z,"LABORATORIO REIG JOFRE, S.A",5053.53,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65442888&lawType=3,33000000,2020-03-13T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Fundació Centre de Regulació Genòmica,CONTRACTE 11 - TRAMITACIÓ EMERGÈNCIA COVID-19,1489,Reactius per la producció interna d'enzims,Material per realitzar tests de detecció massiva de COVID-19,Subministraments,6802.8,2020-04-09T00:00:00Z,"MERCK LIFE SCIENCE, SLU",6802.8,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=61300405&lawType=3,33696500,2020-04-09T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Sistema d'Emergències Mèdiques SA (SEMSA),CE154/2020,1490,COMPRA EMERGÈNCIA 154: Servei de recollida i entrega amb la distribució d'equipament electromèdic i d'altres materials,Servei de recollida i entrega amb la distribució d'equipament electromèdic i d'altres materials,Serveis,27031.67,2020-06-30T00:00:00Z,Joan Manel Escoda Roses,27031.67,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63826509&lawType=3,42417300,2020-06-08T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Sanitari de l'Anoia,CE_CSA_2020 EPIS III,1491,Subministrament equips protecció individual III,Subministrament equips protecció individual III,Subministraments,802,2020-05-27T00:00:00Z,Pilar Caro,802,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63117473&lawType=3,35113400,2020-03-15T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),021C-2020-CEM,1492,Reforç bugaderia juliol,Reforç del servei de bugaderia per l'Hospital Universitari Germans Trias i Pujol,Serveis,27840,2020-06-25T00:00:00Z,ILUNION BUGADERIES CATALUNYA SAU,2800,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64683642&lawType=3,98311100,2020-04-06T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Fundació de Gestió Sanitària de l'Hospital de la Santa Creu i Sant Pau,COVID-19/MATERIAL LABORATORI,1493,COVID19 TEST DETECCIO RAPIDA X25T,"Subministrament de material de laboratori, necessari per fer front a la pandèmia del COVID-19",Subministraments,0,2020-06-12T00:00:00Z,VWR INTERNATIONAL EUROLAB SL,7360,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64037365&lawType=3,33140000,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),020C-2020-CEM,1494,Servei de rentat bates impermeables d'hospitalització i quiròfan per l'Hospital Universitari Germans Trias i Pujol,Servei de rentat bates impermeables d'hospitalització i quiròfan per l'Hospital Universitari Germans Trias i Pujol,Serveis,486290.29,2020-06-25T00:00:00Z,AXIOMA SOLUCIONS INTEGRALS I SERVEI,48750,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64680874&lawType=3,98310000,2020-04-06T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),COVID19_LOG_001,1495,Taq ADN polimerasa modif. ràpida p/PCR,Subministrament de reactius i material de laboratori destinats a ladiagnosi in-vitro de la malaltia del Coronavirus,Subministraments,305637,2020-06-22T00:00:00Z,LIFE TECHNOLOGIES SA,86396.8,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64508678&lawType=3,33696500,2020-06-18T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Fundació de Gestió Sanitària de l'Hospital de la Santa Creu i Sant Pau,COVID-19/MS COMANDES ESPECIALS,1496,MASCARA WFQAQUAPLAST RT-1779KESDX,"Subministrament de material sanitari relatiu a comandes especials, necessari per fer front a la pandèmia del COVID-19",Subministraments,0,2020-06-12T00:00:00Z,SURGEST MEDICAL SL,3109.8,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64025844&lawType=3,33100000,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1077,1497,SUBMINISTRAMENT DE PETIT MATERIAL SANITARI,Subministrament de petit material sanitari i de desinfecció sanitària - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIA,Subministraments,0,2020-07-01T00:00:00Z,"LABORATORIO ARAGO, S.L.",704.17,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65011333&lawType=3,33140000,2020-04-29T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Corporació Sanitària Parc Taulí de Sabadell,20COVID13,1498,Servei d'enviament SMS bidireccionals - 20COVID13,Servei d'enviament SMS bidireccionals,Serveis,29448,2020-06-03T00:00:00Z,"ALHORA SCFP, SL.",29448,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewDcan&idDoc=63480652&lawType=3,64212100,2020-04-24T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Fundació de Gestió Sanitària de l'Hospital de la Santa Creu i Sant Pau,COVID-19/MATERIAL SANITARI,1499,CIRCUIT VENTILACIO AIRVO 2,"Subministrament del material sanitari, necessari per fer front a la pandèmia del COVID-19",Subministraments,0,2020-06-12T00:00:00Z,FISHER & PAYKEL HEALTHCARE,12860,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64039095&lawType=3,33140000,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Departament d'Interior,IT-2020-582,1500,Subministrament de 780 unitats de netejador desinfectant multiusos i 1.000 bobines de paper,Subministrament de 780 unitats de netejador desinfectant multiusos i 1.000 bobines de paper,Subministraments,2084.4,2020-06-11T00:00:00Z,"PAPERERIA J PUY, SL",2084.4,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63811304&lawType=3,24455000,2020-05-28T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),1101197617,1501,Instal. Càmares seguretat,"Contractació dels treballs de condicionament i la compra d'equipament corresponent a un àrea d'hospitalització de 70 llits de pacients convencionals ubicats al gimnàs de l'Institut Guttmann, destinats a l'Hospital UniversitariGermans Trias i Pujol.",Subministraments,133372.24,2020-06-09T00:00:00Z,"SABICO SEGURIDAD, S.A.",7165.86,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64004847&lawType=3,33192000,2020-03-26T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),COVID19_LOG_001,1502,Det IgA anti-SARS-CoV-2 96d EI2606-9601A,Subministrament de reactius i material de laboratori destinats a ladiagnosi in-vitro de la malaltia del Coronavirus,Subministraments,305637,2020-06-22T00:00:00Z,EUROIMMUN DIAGNOSTICS ESPAÑA SL,2850,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64508678&lawType=3,33696500,2020-06-18T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Departament d'Interior,IT-2020-569,1503,Subministrament de 3.000 unitats de bobines de paper i 3.000 unitats d'esprais desinfectants multiusos,Subministrament de 3.000 unitats de bobines de paper i 3.000 unitats d'esprais desinfectants multiusos,Subministraments,20475,2020-06-03T00:00:00Z,MIQUEL CRUSELLAS DORSA,20475,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63326315&lawType=3,33631600,2020-05-22T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Servei Meteorològic de Catalunya,A20008,1504,serveis de manteniment correctiu de les 175 Estacions Meteorològiques Automàtiques (EMA) de la Xarxa d'Estacions Automàtiques (XEMA) integrada a la Xarxa d'Equipaments Meteorològics de la Generalitat de Catalunya (XEMEC),serveis de manteniment correctiu de les 175 Estacions Meteorològiques Automàtiques (EMA) de la Xarxa d'Estacions Automàtiques (XEMA) integrada a la Xarxa d'Equipaments Meteorològics de la Generalitat de Catalunya (XEMEC),Serveis,19800,2020-05-05T00:00:00Z,"Instal·lacions Xavi Díaz, S.L.",19800,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=61923107&lawType=3,50532000,2020-04-28T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1000,1505,"ENOXAPARINA 80 MG/8000 UI JER 0,8 ML",Subministrament de medicaments - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIA,Subministraments,0,2020-05-27T00:00:00Z,"SANOFI-AVENTIS, S.A.",19258,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63089784&lawType=3,33690000,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Sanitari de Terrassa,COVID-19 (5),1506,Escovillons dobles P/PCR.,Contractes d¿emergència 5 (publicació massiva),Subministraments,0,2020-06-23T00:00:00Z,"PALEX MEDICAL,S.A.",7840,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64627595&lawType=3,33000000,2020-06-11T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1049,1507,Material Sut.Manual,"Subministrament de divers material sanitari, utillatges i instrumental - Publicació MASSIVA de contractació tramitada d'EMERGÈNCIA",Subministraments,0,2020-06-09T00:00:00Z,"MEDTRONIC IBERICA, S.A.",900,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63998855&lawType=3,33000000,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Sistema d'Emergències Mèdiques SA (SEMSA),CE55/2020,1508,COMPRA EMERGÈNCIA 55: Granotes de protecció,Granotes de protecció,Subministraments,1307100,2020-05-11T00:00:00Z,Iturri SA,1307100,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62172571&lawType=3,18114000,2020-04-29T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Servei Català de la Salut (CatSalut),5100-2020-N1247,1509,Subministrament d'equipament de monitorització.,"Publicació massiva de contractes tramitats per emergència, de subministrament d'equipament mèdic  en el marc de l'estratègia de resposta a l'epidèmia del SARS-CoV-2.",Subministraments,0,2020-06-18T00:00:00Z,"General Electric Healthcare, SA",633311.6,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64300560&lawType=3,33000000,2020-06-18T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Corporació Sanitària Parc Taulí de Sabadell,20COVID26,1510,Subministrament material sanitari - 20COVID26,Subministrament material sanitari: gasos medicinals i dipòsits oxigen,Subministraments,68998.23,2020-06-05T00:00:00Z,LINDE GAS ESPAÑA SA,68998.23,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63631966&lawType=3,24111900,2020-04-01T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Corporació Sanitària Parc Taulí de Sabadell,20COVID50,1511,Subministrament material sanitari - 20COVID50,"Subministrament de roba plana: bates d'exploració, quirúrgiques, cobrellits, coixineres, llençols, etc",Subministraments,21197.3,2020-06-17T00:00:00Z,TRAZABILIDAD GESTION Y TEXTILES SANITARIOS SL,21197.3,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64213565&lawType=3,19231000,2020-03-13T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),1101194833,1512,CARRO ROBA BRUTA,"Subministrament d'aparells mèdics, materials per a equipament mèdic, mobiliari clínic i general i obres de condicionament per tal facilitar el tractament adequat de pacients afectats per SARS¿CoV¿2 de l'Hospital Universitari Germans Trias i Pujol",Subministraments,364225.45,2020-06-12T00:00:00Z,COMPLEMENTOS HOSTELEROS Y SANITARIO,1046.32,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64015443&lawType=3,33190000,2020-03-20T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Fundació Centre de Regulació Genòmica,CONTRACTE 17 - TRAMITACIÓ EMERGÈNCIA COVID-19,1513,Material de laboratori (plaques i puntes de pipeta per a sistemes robòtics),Material per realitzar tests de detecció massiva de COVID-19,Subministraments,204430.16,2020-04-09T00:00:00Z,"TECAN IBERICA INSTRUMENTACION, SLU",204430.16,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=61303125&lawType=3,38437000,2020-04-09T00:00:00Z
